"당부";"die Bitte / Aufforderung";"Eher formell";"abstrakt"
"닥치는 대로";"wahllos / alles was verfügbar ist";;"abstrakt"
"뒷감당을 하다";"die Konsequenzen tragen";;"abstrakt"
"연쇄";"die Serie / Reihe";;"abstrakt"
"당연하다";"selbstverständlich / natürlich sein";;"abstrakt"
"결말";"das Ende";;"abstrakt"
"모습";"der Aspekt / die Art und Weise";;"abstrakt"
"낯선";"unbekannt";"Von 낯설다";"abstrakt"
"힐끗";"der kurze Blick / das Aufblitzen";;"abstrakt"
"전환";"der Wechsel / die Umstellung";;"abstrakt"
"늘리다";"erhöhen / verbessern";;"abstrakt"
"... 통해 얻다";"durch ... erhalten";;"abstrakt"
"이치";"die Logik / das Prinzip";;"abstrakt"
"자각하다";"sich bewusst sein / erkennen";;"abstrakt"
"지속성";"die Dauerhaftigkeit";;"abstrakt"
"유지되다";"beibehalten / bestehen bleiben";;"abstrakt"
"순서대로";"der Reihe nach";;"abstrakt"
"참고하다";"betrachten / berücksichtigen";;"abstrakt"
"구구히";"unwichtig / geringfügig";;"abstrakt"
"종료";"das Ende";"Die Beendigung bzw. der Abschluss von etwas.";"abstrakt"
"결심하다";"(sich) entschliessen";"Für persönliche Entscheidungen";"abstrakt"
"참말";"die Wahrheit";;"abstrakt"
"진상";"die Wahrheit";;"abstrakt"
"응시";"der Blick";;"abstrakt"
"시행하다";"durchsetzen / durchführen";;"abstrakt"
"간주하다";"(als) gelten / zählen";;"abstrakt"
"마무르다";"abschliessen";"Den letzten Schliff geben";"abstrakt"
"이런저런";"dies und das";;"abstrakt"
"추가";"der Zusatz / zusätzlich";;"abstrakt"
"자세히";"genau / detailliert";;"abstrakt"
"억지";"der Nachdruck / die Sturheit";;"abstrakt"
"진리";"die Wahrheit";;"abstrakt"
"강조";"die Betonung";;"abstrakt"
"속성";"die Eigenschaft";;"abstrakt"
"성질";"die Eigenschaft / der Charakter";;"abstrakt"
"다루다";"(mit etw.) umgehen";;"abstrakt"
"문멕";"der Kontext";;"abstrakt"
"일정한";"bestimmt / festgelegt";;"abstrakt"
"검토하다";"untersuchen";;"abstrakt"
"지원";"die Unterstützung";;"abstrakt"
"사건";"der Vorfall";"Auch Ereignis / Affaire / Fall";"abstrakt"
"빠뜨리다";"auslassen";;"abstrakt"
"영향";"der Einfluss";;"abstrakt"
"원인";"die Ursache";;"abstrakt"
"충고";"der Ratschlag";;"abstrakt"
"암시하다";"andeuten";;"abstrakt"
"대조";"der Gegensatz";;"abstrakt"
"정연히";"geordnet / strukturiert";;"abstrakt"
"근거";"die Grundlage";;"abstrakt"
"주관적";"subjektiv";;"abstrakt"
"막연하다";"vage / nebulös sein";;"abstrakt"
"객관적";"objektiv";"subjektiv: 주관적";"abstrakt"
"사양하다";"ablehnen";;"abstrakt"
"짐작하다";"schätzen / raten";;"abstrakt"
"추측";"die Vermutung / Spekulation";;"abstrakt"
"예상";"die Erwartung / Vorhersage";;"abstrakt"
"대비하다";"vergleichen";"Wörtlicher eher “kontrastieren”";"abstrakt"
"구성하다";"konstruieren";;"abstrakt"
"저항하다";"widerstehen";;"abstrakt"
"제약";"die Einschränkung";;"abstrakt"
"본격적";"gründlich / ernsthaft";;"abstrakt"
"도입";"die Einführung";;"abstrakt"
"피난";"der Schutz";;"abstrakt"
"양성";"positiv";;"abstrakt"
"투입";"der Einwurf";;"abstrakt"
"삭제하다";"löschen";;"abstrakt"
"보호";"der Schutz";;"abstrakt"
"지경";"die Situation";"Eher negativ. z.B. für eine extreme Situation.
z.B. 죽을 지경이에요 = Ich bin am Ende meiner Kräfte.";"abstrakt"
"사고 방식";"die Denkweise";;"abstrakt"
"사고";"der Gedanke";;"abstrakt"
"예민하다";"scharf / ausgeprägt";;"abstrakt"
"건";"die Angelegenheit";;"abstrakt"
"요청";"die Anfrage / Bitte";;"abstrakt"
"약점";"die Schwachstelle";;"abstrakt"
"원리";"das Prinzip";;"abstrakt"
"통제하다";"kontrollieren";;"abstrakt"
"굳이";"bestimmt / deutlich";;"abstrakt"
"분명";"die Klarheit";;"abstrakt"
"고려하다";"bedenken";;"abstrakt"
"가지";"die Art / Sorte";;"abstrakt"
"조건";"die Bedingungen";;"abstrakt"
"예정하다";"vorhersehen / bestimmen";;"abstrakt"
"이루다";"bilden / formen";;"abstrakt"
"정해지다";"festlegen";;"abstrakt"
"갈다";"erneuern / wechseln";;"abstrakt"
"차지하다";"besetzen / inne haben";;"abstrakt"
"유형";"der Typ / die Art";;"abstrakt"
"대개";"generell";;"abstrakt"
"상반하다";"im Gegensatz sein";;"abstrakt"
"계발하다";"selbst weiterentwickeln";;"abstrakt"
"표현";"der Ausdruck";"Ideen, Gedanken, gefühle ausdrücken
z.b. 생각을 표현하다";"abstrakt"
"탓";"die Schuld";;"abstrakt"
"소중하다";"bedeutend sein";;"abstrakt"
"사퇴하다";"ablehnen";;"abstrakt"
"먹혀들지 않다";"nicht klappen";;"abstrakt"
"적용하다";"anwenden";;"abstrakt"
"유일하다";"einzig(-artig) sein";;"abstrakt"
"곤란하다";"problematisch sein";;"abstrakt"
"묘사하다";"beschreiben / darstellen";;"abstrakt"
"확고하다";"feststehen";;"abstrakt"
"자체";"selbst";;"abstrakt"
"의하다";"basieren";;"abstrakt"
"가정하다";"annehmen";;"abstrakt"
"계획을 잡다";"etwas ausmachen";;"abstrakt"
"감싸다";"decken / schützen";;"abstrakt"
"비교적";"vergleichsweise";;"abstrakt"
"해결하다";"lösen / beilegen";;"abstrakt"
"밝히다";"erklären / offen legen";;"abstrakt"
"전형적";"typisch";;"abstrakt"
"제안";"der Vorschlag";;"abstrakt"
"텅";"leer";;"abstrakt"
"안정";"die Stabilität";;"abstrakt"
"사항";"die Angelegenheit";;"abstrakt"
"핵심";"die Kernaussage";;"abstrakt"
"원칙";"das Prinzip";;"abstrakt"
"결여";"das Fehlen";;"abstrakt"
"한계";"die Grenze / Limit";;"abstrakt"
"때보다";"im Vergleich";;"abstrakt"
"확정하다";"festlegen";"Für endgültige Entscheidungen. Eher formell.
z.B. 
회의 일정이 확정되었습니다.";"abstrakt"
"처리하다";"sich um etw. kümmern";;"abstrakt"
"그만한";"so ein/e";;"abstrakt"
"상징하다";"symbolisieren";;"abstrakt"
"여기다";"(als) betrachten";;"abstrakt"
"속하다";"angehören";;"abstrakt"
"특징";"die Besonderheit";;"abstrakt"
"주목";"die Beobachtung";;"abstrakt"
"구분하다";"unterscheiden";;"abstrakt"
"비교하다";"vergleichen";;"abstrakt"
"논리적이다";"logisch sein";;"abstrakt"
"예고";"die Vorschau / Ankündigung";;"abstrakt"
"원래";"ursprünglich";;"abstrakt"
"결론";"die Schlussfolgerung";;"abstrakt"
"불가능하다";"unmöglich sein";;"abstrakt"
"완벽하다";"perfekt sein";;"abstrakt"
"완전하다";"perfekt sein";;"abstrakt"
"단점";"der Nachteil";;"abstrakt"
"장점";"der Vorteil";;"abstrakt"
"경향";"die Tendenz / Neigung";;"abstrakt"
"제도";"das System";;"abstrakt"
"기준";"die Grundlage / Kriterium";;"abstrakt"
"인하다";"durch etwas verursacht sein";;"abstrakt"
"어긋나다";"(etw) widersprechen";;"abstrakt"
"독립하다";"unabhängig sein";;"abstrakt"
"가정";"die Annahme";;"abstrakt"
"행위";"die Handlung / Aktion";;"abstrakt"
"소용";"der Nutzen";;"abstrakt"
"상태";"der Zustand";;"abstrakt"
"인정하다";"anerkennen";"Etwa wie engl. “appreciate”";"abstrakt"
"들어 있다";"enthalten";;"abstrakt"
"강조하다";"betonen";;"abstrakt"
"비결";"das Geheimnis / der Trick";;"abstrakt"
"오히려";"im Gegenteil";;"abstrakt"
"세세하다";"detailliert sein";;"abstrakt"
"상세하다";"detailliert sein";;"abstrakt"
"자세하다";"detailliert sein";;"abstrakt"
"수지";"die Sammlung";;"abstrakt"
"실컷";"so viel man möchte";;"abstrakt"
"거부하다";"ablehnen";;"abstrakt"
"훨씬 좋은";"viel besser";;"abstrakt"
"여러 가지";"verschiedenste";;"abstrakt"
"다양하다";"vielfältig sein";;"abstrakt"
"직접";"selbst";;"abstrakt"
"사물";"die Sache";;"abstrakt"
"기회가 나다";"eine Gelegenheit ergeben";;"abstrakt"
