"후줄근하다";"schlampig / ungepflegt sein";"Eher umgangssprachlich";"adjektiv"
"도두";"hoch";;"adjektiv"
"독하다";"giftig sein";;"adjektiv";"gesundheit"
"원시";"primitiv";;"adjektiv";"modal"
"평범하다";"gewöhnlich sein";;"adjektiv"
"극하다";"extrem sein";;"adjektiv"
"인기 있다";"beliebt sein";"z.b. 인기 있는 음악";"adjektiv";"gesellschaft";"kultur"
"순수하다";"rein sein";;"abstrakt";"adjektiv"
"마찬가지다";"genauso / gleich sein";"z.B.
마찬가지 것";"abstrakt";"adjektiv"
"동일하다";"gleich sein";;"abstrakt";"adjektiv"
"손쉽다";"einfach sein";;"abstrakt";"adjektiv"
"희한하다";"selten / ungewöhnlich sein";;"abstrakt";"adjektiv"
"일반적이다";"üblich / allgemein sein";;"adjektiv";"adverb"
"생생하다";"lebendig / frisch sein";"Auch 쌩쌩하다";"adjektiv";"charakter"
"유연하다";"flexibel sein";;"adjektiv";"aktivität";"sport"
"튼튼하다";"solide / stark sein";;"adjektiv";"material"
"역겹다";"widerlich sein";;"adjektiv";"gefühl";"modal"
"헐렁하다";"weit sein (Kleidung)";;"adjektiv";"kleidung"
"단단하다";"hart sein";;"adjektiv";"material"
"한적하다";"ruhig / verschlafen sein";;"adjektiv";"gesellschaft"
"여자답다";"weiblich sein";;"adjektiv"
"남자답다";"männlich sein";;"adjektiv"
"멋내다";"gut aussehen";;"adjektiv";"kleidung"
"닫히다";"geschlossen sein";;"adjektiv";"einkaufen"
"수수하다";"schlicht sein";;"adjektiv";"kleidung"
"세련되다";"elegant sein";;"adjektiv";"kleidung"
"화려하다";"prachtvoll sein";;"adjektiv";"kleidung"
"젊다";"jung sein";;"adjektiv";"sozial"
"튼튼하다";"stabil sein";;"adjektiv";"technik"
"방수하다";"wasserdicht sein";;"adjektiv";"technik"
"사랑스럽다";"lieblich sein";;"adjektiv";"liebe"
"바뀌다";"verändert sein";;"abstrakt";"adjektiv"
"친절하다";"nett sein";;"adjektiv"
"뜨겁다";"heiss sein (Gegenstände)";;"adjektiv"
"예쁘다";"hübsch sein";;"adjektiv"
"많다";"viel sein";;"adjektiv"
