"총장";"die Präsident:in / Generalsekretär:in";"Von Organisationen / Universitäten etc.";"beruf"
"기사";"die Ingeneur:in";;"beruf"
"원장";"die Leiter:in / Direktor:in";"Z.B Krankenhaus- oder Kindergarten-Leiter:in";"arbeit";"beruf"
"초능력자";"die Hellseher:in";;"beruf"
"무당";"Schaman:in";;"beruf";"religion"
"장사꾼";"der Kaufmann / die Kauffrau";;"arbeit";"beruf"
"형사";"die Kommissar:in / Detektiv:in";;"beruf";"kriminal"
"아나운서";"die Ansager:in / Nachrichtensprecher:in";"Announcer";"beruf";"kultur"
"연극배우";"die Theaterschauspieler:in";;"beruf";"kultur"
"수사관";"die Ermittler:in";;"arbeit";"beruf";"kriminal"
"개발자";"die Entwickler:in";;"beruf"
"기업가";"die Unternehmer:in";"Eher mit Fokus auf Innovation und Gründung. Wie engl. Entrepreneur";"beruf"
"화가";"die Maler:in";;"beruf";"kultur"
"전문가";"die Expert:in";;"beruf"
"사서";"die Bibliothekar:in";;"beruf"
"장관";"die Minister:in";;"beruf";"politk"
"사기꾼";"die Betrüger:in";;"beruf"
"낚시꾼";"der Fischer";;"beruf"
"스님";"der Mönch";;"beruf";"religion"
"뱃사공";"der Fährmann";;"beruf"
"과장";"die Abteilungsleiter:in";"I.d.R. 과장님";"arbeit";"beruf"
"비서";"die Sekretär:in";;"arbeit";"beruf"
"자영업자";"die Selbstständige";;"arbeit";"beruf"
"관리사";"die VerwalterIn / ManagerIn";;"beruf"
"교사";"der Lehrerberuf";;"beruf";"schule"
"번역가";"die Übersetzer:in";;"beruf";"sprache"
"정치가";"die Politiker:in";;"beruf";"politk"
"진로";"die Karriere";;"beruf"
"연기자";"die Schauspieler:in";;"beruf";"kultur"
"광대";"der Clown";;"beleidigung";"beruf"
"수리공";"die TechnikerIn";;"beruf";"technik"
"무용가";"die Tänzer:in";;"beruf";"kultur"
"스승";"die Lehrer:in";"Hanja";"beruf";"hanja";"schule"
"팀장";"der Team-Leader";"i.d. R. 팀장님";"arbeit";"beruf"
"검사";"die Staatsanwält:in";;"beruf";"recht"
"판사";"die RichterIn";;"beruf";"recht"
"회계";"die Buchhaltung";"Allgemein. Auch Konto.
회계학 = Studium der Buchhaltung / BWL";"arbeit";"beruf"
"배달원";"die BotIn / LieferantIn";;"beruf";"brief"
"공무원";"die Staatsbedienstete";;"arbeit";"beruf"
"촬영";"die Photographie";;"beruf";"kultur"
"사범";"die TrainerIn";;"beruf";"sport"
"지휘자";"die Dirigent:in";;"beruf";"kultur"
"승무원";"die Flugbegleiter:in";;"beruf";"reisen"
"미용사";"die KosmetikerIn";;"beruf"
"간호사";"die Krankenpfleger:in";;"beruf";"gesundheit"
"약사";"die Apotheker:in";;"beruf";"gesundheit"
"사업가";"die Unternehmer:in";;"arbeit";"beruf"
"주부";"die Hausfrau";;"beruf";"sozial"
"교수님";"die Professor:in";;"beruf";"schule"
"작곡";"die Komponist:in";;"beruf";"kultur"
"사장님";"die Geschäftsführer:in";;"arbeit";"beruf"
"대왕";"der König";;"beruf";"politk"
"통역가";"die Simultanübersetzer:in";;"beruf"
"기자";"die Journalist:in";;"beruf"
