"내딛다";"Schritt voran machen";;"bewegung"
"엎드리다";"auf dem Bauch liegen";"Wörtlich “Umgedreht sein”";"bewegung"
"휘감다";"umschlingen";"뱀이 휘감다";"bewegung"
"진출하다";"vorstossen / eindringen";;"bewegung"
"유출하다";"abfliessen / auslaufen";;"bewegung"
"득실대다";"sich tummeln / in Massen bewegen";;"bewegung"
"동석하다";"sich zusammensetzen";;"bewegung";"sozial"
"치다";"(zu)-ziehen";;"bewegung"
"번지다";"verschmieren / verlaufen";;"bewegung"
"진행";"der Fortschritt";;"bewegung"
"찧다";"(an)-stossen";"zB. 벽에 이마를 찧다";"bewegung"
"가리다";"verdecken";;"bewegung"
"붙다";"haften / kleben";;"bewegung"
"들다";"eintreten / hereinkommen";;"bewegung"
"급하게";"eilig / hastig";;"bewegung"
"바르다";"auftragen / verteilen";"Z.B. Kosmetik oder Farbe";"bewegung"
"덮다";"ab- / zudecken";;"bewegung"
"넘어지다";"hinfallen / stolpern";;"bewegung"
"이동";"der Umzug / die Positionsänderung";"Auch Migration";"bewegung"
"뒤떨어지다";"zurückfallen";;"bewegung"
"추진하다";"antreiben";;"bewegung"
"머무르다";"bleiben / anhalten";;"bewegung"
"올리다";"anheben";"Hat verschiedenste Bedeutungen. Kann auch “erhöhen”, “anbieten” , oder “erreichen” heissen.";"bewegung"
"날아가다";"wegfliegen";"Davon fliegen / weg geweht werden";"bewegung";"wetter"
"...는 길에";"... auf dem Weg ...";"Nur nach Verben der Bewegung.
zB:
집에 가는 길에 시장에 갔어요.
Auch …는 길이다 = Auf dem Weg sein … zu tun
KGiG 2/208";"bewegung";"grammatik";"konjunktion"
"걸리다";"zu Fuss gehen lassen";;"bewegung";"kausativ"
"눕히다";"hinlegen";;"bewegung";"kausativ"
"앉히다";"setzen";;"bewegung";"kausativ"
"발생하다";"passieren / auftauchen";;"abstrakt";"bewegung"
"착지하다";"landen";;"bewegung"
"후행하다";"nachfolgen";;"bewegung"
"발짝";"der Schritt";;"bewegung"
"나서다";"heraustreten";;"bewegung"
"뚫다";"durchkommen";"Einen Weg finden / durchgraben";"bewegung"
"생략하다";"auslassen / weglassen";;"bewegung"
"선행하다";"vorausgehen";;"bewegung"
"비키다";"aus dem Weg gehen";;"bewegung"
"동요하다";"wackeln / kippen";;"bewegung"
"유동하다";"fliessen / sich bewegen";;"bewegung"
"밀려나다";"gedrückt / geschubst werden";;"bewegung"
"달려오다";"herbei eilen";;"bewegung"
"돌아서다";"sich abwenden";;"bewegung"
"쫓다";"verfolgen";"Passiv: 쫓기다";"bewegung"
"수축하다";"sich zusammen ziehen";;"bewegung"
"떨어뜨리다";"fallen lassen";;"bewegung"
"구부리다";"sich bücken";;"bewegung"
"구르다";"rollen";"굴러";"bewegung"
"다가가다";"näher kommen";;"bewegung"
"휘두르다";"schwingen";;"bewegung"
"따라다니다";"jmd. folgen";;"bewegung";"sozial"
"초월하다";"übersteigen";;"bewegung"
"데려가다";"jmd. mitnehmen / begleiten";;"bewegung";"sozial"
"챙기오다";"her bringen";;"bewegung"
"외면하다";"sich abwenden";;"bewegung";"sozial"
"버티다";"halten (stabil sein)";;"bewegung"
"도망가다";"weglaufen";;"bewegung"
"오르다";"steigen";;"bewegung"
"문지르다";"reiben";;"bewegung"
"빼다";"herausziehen";;"bewegung"
"진동";"die Vibration";;"bewegung"
"새치기하다";"vordrängeln";;"bewegung"
"마주치다";"sich treffen";;"bewegung";"sozial"
"흐르다";"fliessen";;"bewegung"
"보급";"die Verbreitung";;"bewegung"
"보급하다";"sich verbreiten";;"bewegung"
"가출하다";"von zu Hause weglaufen";;"bewegung"
"벗어나다";"entkommen";;"bewegung"
"쏘다";"schiessen";;"bewegung";"krieg";"sport"
"헤매다";"umherschweifen";;"bewegung"
"뚝 떨어지다";"schnell fallen";;"bewegung"
"걸음";"die Schritte / das Gehen";;"bewegung"
"미루다";"verschieben";;"bewegung"
"내놓다";"rausstellen";;"bewegung"
"극복하다";"überwinden";;"bewegung"
"...에 다니다";"...besuchen / arbeiten";;"bewegung";"grammatik"
"밀치다";"schupsen";;"bewegung"
"잃다";"(etw) verlieren";;"bewegung"
"꽂다";"stecken";;"bewegung"
