"면적";"die Fläche / das Gebiet";;"form";"stadt"
"측면";"die Seite / Oberfläche";;"form"
"드넓다";"weitläufig / endlos sein";"z.B. 드넓은 바다";"form"
"구멍";"das Loch";;"form"
"가느다랗다";"dünn / schlank sein";;"form"
"꼬부라지다";"gebeugt / gewunden sein";;"form"
"모나다";"eckig / kantig sein";;"form"
"낮추다";"verringern";"Wörtlich: Niedriger machen
Kausativ von 낮다";"form";"kausativ"
"넓히다";"weiten / verbreitern";;"form";"kausativ"
"형식";"die Form / das Muster";"Eher abstrakt. ";"abstrakt";"form"
"형태";"die Form / die Art";"Eher Typ / Erscheinungsform";"form"
"빈틈";"die Lücke";;"form"
"중심부";"der Mittelteil";;"form"
"구조";"die Struktur";;"form";"material"
"꼭대기";"die Spitze";;"form"
"마무리하다";"vervollständigen";;"abstrakt";"form"
"소형";"kleinformatig";;"form"
"늘어지다";"schlaff sein";;"form"
"대형";"grossformatig";;"form"
"대각선으로";"diagonal";;"form"
"모서리";"die Ecke";;"form"
"수정";"der Kristall";;"form"
"일관성";"Konistenz / Schlüssigkeit";;"abstrakt";"form"
"질감";"die Konsistenz";;"form";"material"
"대강";"das Schema / Grundzüge";;"abstrakt";"form"
"밀도";"die Dichte";;"abstrakt";"form"
"거대하다";"gigantisch sein";;"form"
"세다";"stark / robust sein";;"form";"material"
"거창하다";"enorm sein";;"form"
"크기";"die Grösse";;"form"
"동그라미";"der Kreis";;"form"
"모양";"die Form";"Geometrische Form";"form"
"굵다";"dick / breit sein";;"form"
"밑출";"unterstrichen";;"form";"sprache"
"네모난";"rechteckig";;"form"
"둥근";"rund";;"form"
"네모나다";"rechteckig sein";;"form"
"가위표";"das Kreuz";;"form"
