"추앙하다";"verehren";;"abstrakt";"gefühl"
"불안하다";"unsicher sein";;"gefühl"
"느긋하다";"entspannt sein";;"gefühl"
"갈등";"der Konflikt / Zwispalt";;"gefühl";"sozial"
"복수";"die Rache";;"gefühl"
"자극적이다";"reizend / aufregend sein";"Auch stimmulierend, anregend, scharf";"gefühl"
"식상하다";"etwas satt haben";"Wörtlich “übel sein”";"gefühl"
"공감이 가다";"mitfühlen / nachvollziehen";;"gefühl"
"놀랍다";"erstaunlich sein";;"gefühl"
"당황스럽다";"perplex / peinlich sein";;"gefühl"
"얼굴을 들 수가 없다";"sich schämen / nicht in die Augen sehen können";"Wörtlich “Ich kann mein Gesicht nicht heben”";"gefühl";"redewendung"
"가슴이 두근거리다";"Herzklopfen haben";;"gefühl"
"권장하다";"ermutigen";;"gefühl"
"좌절하다";"frustriert / entmutigt sein";;"gefühl"
"마음이 끌리다";"sich angezogen fühlen";;"gefühl"
"활기가 넘치다";"voller Energie sein";"Wörtlich: Mit Energie überfliessen";"gefühl"
"여유롭다";"entspannt sein";"Ausreichend Zeit, Raum, Mittel haben.";"gefühl"
"반기다";"froh sein / sich über jemand freuen";"z.B. 옛 친구를 반기다";"gefühl"
"시달리다";"unter etwas leiden";;"gefühl"
"충동";"der Impuls / Drang";;"gefühl"
"격려";"die Ermutigung";;"gefühl"
"한창";"der Höhepunkt";;"abstrakt";"gefühl"
"냉정하다";"ruhig / bedacht / kühl sein";"Wenn man ruhig und besonnen ist.";"gefühl"
"흑흑";"schluchz-schluchz";"Lautmalerisch";"gefühl";"redewendung"
"눈물 흘리다";"Tränen vergiessen / weinen";;"gefühl"
"무시하다";"ignorieren / nicht beachten";;"gefühl";"modal"
"기분이 상하다";"beleidigt sein";"Wörtlich: die Stimmung ist beschädigt";"gefühl"
"마음이 졸이다";"sich Sorgen machen";;"gefühl"
"끙끙 앓다";"sich sorgen / grübeln";;"gefühl"
"눈치 보다";"Rücksicht nehmen auf jmd.";"Wörtlich: die Stimmung von jmd. beobachten.
Drückt eher negative Gefühle aus.";"gefühl"
"위로하다";"trösten";"위로를 주다 = Trost spenden";"gefühl"
"절실하다";"ernst sein";;"gefühl";"modal"
"쪽팔리다";"peinlich sein";;"gefühl"
"의심";"der Zweifel / das Mistrauen";;"gefühl"
"혼나다";"geschimpft werden / sich erschrecken";"Wörtlich “die Seele wird erschüttert”. Allgemein für unangenehme Situationen wo man Kritik erfährt oder erschrickt.
z.B. 어제 선생님한테 혼났어요.";"gefühl"
"허전하다";"leer / unvollständig fühlen";"Gefühl, dass etwas fehlt.";"gefühl"
"진정하다";"beruhigen";;"gefühl";"sozial"
"재수";"das Glück";"Eher informell.
Auch 재수가 없다 = Pech haben";"gefühl";"leben"
"공감";"die Empathie";;"gefühl"
"찬바람";"kalter Wind";"Übertragen auch Gefühlskälte";"gefühl";"wetter"
"무표정";"ausdrucklos";;"gefühl"
"자격지심";"der Minderwertigkeitskomplex";;"gefühl"
"질리다";"etwas überdrüssig sein / satt haben";;"gefühl"
"겪다";"erleben / erfahren";;"gefühl";"leben"
"조마조마하다";"nervös sein";;"gefühl"
"흥미진진하다";"spannend sein";"z.b. bei Filmen oder Büchern";"gefühl";"kultur"
"박진감";"die Anspannung / Aufregung";"박진감 넘치다 = sehr aufregend sein";"gefühl"
"기대를 마치다";"Erwartungen erfüllen";;"gefühl";"modal"
"가슴이 찡하다";"herzergreifend sein";;"gefühl"
"애처롭다";"herzerweichend / bemitleidenswert sein";;"gefühl"
"쓸쓸하다";"einsam sein";;"gefühl"
"기가 막히다";"Atem stocken";;"gefühl"
"코웃음을 치다";"spöttisch lachen";"Wörtlich Nasenlachen";"gefühl";"kommunikation"
"성취감";"das Erfolgsgefühl";;"gefühl"
"뿌듯하다";"sich erfüllt / stolz fühlen";"Beschreibt ein tiefes Gefühl von Zufriedenheit, Stolz und Erfüllung, das durch die eigene Leistung oder die Leistung von jemand anderem entsteht.";"gefühl"
"숭배하다";"bewundern / anbeten";;"gefühl"
"꿀꿀하다";"schlechte Laune haben";"Niedergeschlagen sein, wegen alltäglichen Dingen wie Wetter, Müdigkeit, Stress, etc.";"gefühl";"redewendung"
"기분이 가라앉다";"niedergeschlagen sein";;"gefühl"
"반대하다";"dagegen sein";;"gefühl";"gesellschaft";"sozial"
"화 풀다";"Wut ablassen";;"gefühl"
"격하다";"aufregen";;"gefühl"
"격해지다";"aufgeregt werden";;"gefühl"
"흉흉하다";"gefährlich sein";"Gefährliche Stimmung / Atmosphäre.
z.B. 요즘 세상이 흉흉해요.";"gefühl";"kriminal"
"훌쩍이다";"schluchzen / schniefen";"Lautmalerisch";"gefühl";"redewendung"
"분노";"die Wut";;"gefühl"
"형통하다";"gut laufen";;"gefühl";"modal"
"무리";"die Überlastung / Anstrengung";"Oft in verneinter Form “무리가 아니다“ im Sinne von “normal / natürlich / vernünftig”
Z.B 무리가 없는 자세";"abstrakt";"gefühl"
"감탄";"die Bewunderung";;"gefühl"
"최고이다";"am besten / spitze sein";;"gefühl"
"신경질을 부리다";"nervös sein";;"gefühl"
