"고다";"einkochen / schmoren";;"kochen"
"손맛";"die besonderen Note beim Kochen / Kochkunst";;"kochen";"redewendung"
"담그다";"einweichen";;"kochen"
"채를 썰다";"in Streifen schneiden";;"kochen"
"레인지";"der Herd";"가스레인지 = Gasherd
전자레인지 = Elektroherd";"kochen";"wohnen"
"국자";"der Schöpflöffel";;"kochen"
"주걱";"der Pfannenwender / Reislöffel";;"kochen"
"프라이팬";"die (Brat)-Pfanne";;"kochen"
"헹구다";"abspülen / ausspülen";;"kochen";"wohnen"
"주방";"die Küche";"Eher formell oder für professionelle Küchen (Restaurant, Hotel)";"kochen";"wohnen"
"싱크대";"die Spüle";;"kochen";"wohnen"
"창고";"die Vorratskammer";;"kochen";"wohnen"
"취사";"das Kochen";;"kochen"
"전기밥솥";"der Reiskocher";;"kochen"
"노릇노릇하다";"gut angebraten sein";;"kochen"
"커피잔 세트";"das Kaffee-Service";;"kochen"
"굽다";"rösten / grillen";"Wenn man etwas bei trockener Hitze kocht z.B. im Ofen oder auf dem Grill";"kochen"
"양념하다";"abschmecken";;"kochen"
"법";"die Methode / Regel / Vorgehen";;"kochen"
"갈다";"mahlen";;"kochen"
"식당을 하다";"ein Restaurant führen";;"arbeit";"kochen"
"앞치마";"die Schürze";;"kochen"
"끓다";"kochen / heiss sein";;"kochen"
"짓다";"erstellen / machen";"Auch im Sinn von “kochen”. zB. 밥을 짓다";"aktivität";"kochen"
"젓다";"schütteln";;"kochen"
