"한류";"die Korea-Welle";"Weltweite Verbreitung koreanischer Popkultur";"kultur"
"첨단";"die Speerspitze / Avantgarde";"Vor allem metaphorisch für führend / fortschrittlich sein.";"kultur"
"건축물";"das Bauwerk";"Wörtlich “Architekturwerk”
i.d.R. ein architektonisch wertvolles oder besonderes Gebäude";"kultur";"stadt"
"범죄추리";"der Krimi";;"kultur"
"비극";"die Tragödie";"비극으로 끝나다 = tragisch enden";"kultur"
"인물";"die Figur / der Character";"z.B. In Buch / Film";"kultur"
"신화";"der Mythos";;"kultur"
"출연자";"die Teilnehmer:in (einer Show)";;"kultur"
"예능";"die Unterhaltungssendung";"Kurzform von 예능 프로그램.
Wörtlich Kunstlerische Leistung.";"kultur"
"마술";"die Magie";;"kultur"
"먹물";"die Tusche";"In der Kalligraphie verwendete Tusche aus Russ.";"kultur"
"흥행";"der Erfolg (einer Show / eines Films)";"z.B: 이 영화는 흥행에 성공했다.
흥행에 실패하다.";"kultur"
"재현하다";"nachstellen / wieder erscheinen";"이것은 모나리자를 재현한 것이다";"kultur"
"촬영장";"das Filmset / Fillmstudio";;"kultur"
"붓";"der Schreibpinsel";;"kultur"
"글씨";"die Handschrift / Kalligraphie";;"kultur"
"공모전";"der Wettbewerb";"I.d.R. ein Wettbewerb mit Ausstellung, z.B. Fotographie oder Architekturwettbewerb";"kultur"
"방송 채널";"TV-Sender / YouTube-Kanal";"채널 = Channel";"kultur"
"인쇄물";"die Drucksachen";;"kultur"
"경연 대회";"der Talentwettbewerb";;"kultur"
"민속놀이";"das traditionelle Spiel";"Überbegriff für verschiedene traditionelle Volks-Spiele (z.B. Yut, Ringen, Drachensteigen)";"kultur"
"윷놀이";"Yut-Spiel";"Traditionelles (Brett)-Spiel, das oft an Feiertagen gespielt wird und ein Vorläufer von Mensch Ärgere Dich ist.";"kultur"
"덕담을 하다";"gute Wünsche / Segen aussprechen";"Insbesondere zu Feiertagen wie 추석 oder 설날";"kultur"
"세배를 하다 / 드리다";"sich vor Älteren verbeugen (zu Neujahr)";;"kultur"
"세뱃돈";"Geldgeschenke zum Neujahr";"Kinder erhalten an 설날 Geldgeschenke von älteren Verwandten.";"kultur"
"정월 대보름";"Grosses Vollmondfest";"Fest zum ersten Vollmond im Jahr (also am 15. Tag des ersten Monats nach Mondkalender)";"kultur"
"차례를 지내다";"Ahnenritual durchführen";;"kultur"
"낭독하다";"vorlesen";;"kultur"
"사인";"das Autogramm / die Signatur";;"kultur"
"팬";"der Fan";;"kultur"
"강추";"volle Empfehlung";"Umgangssprachliche Abkürzung von 강력 추천
z.B. 이 영화가 강추예요.";"kultur";"redewendung"
"괴물";"das Monster";;"kultur";"tier"
"클래식";"Klassische Musik";;"kultur"
"뮤지컬";"das Musical";;"kultur"
"대중가요";"die Popmusik";;"kultur"
"연주회";"das Konzert";;"kultur"
"사극";"Historisches Drama (Genre)";;"kultur"
"멜로";"Melodram (Genre)";;"kultur"
"코미디";"Comedy (Genre)";;"kultur"
"액션";"Action (Genre)";;"kultur"
"대중문화";"die Popkultur";;"kultur"
"그림";"das Bild / Gemälde";"그림을 그리다 = malen";"kultur"
"팟캐스트";"der Podcast";;"kultur"
"3·1절 (삼일절)";"Unabhängigkeitstag";"Tag der Unabhängigkeitsbewegung Koreas gegen Japan am 1. März 1919.";"feiertag";"kultur"
"제헌절";"Tag der Verfassung (17. Jul)";"Wörtlich „Verfassungsgebung“ (제 = „machen“, 헌 = „Verfassung“)
17. Juli 1948";"feiertag";"kultur"
"개천절";"Tag der Staatsgründung (3. Okt)";"Wörtlich „Öffnung des Himmels“ (개 = „öffnen“, 천 = „Himmel“)";"feiertag";"kultur"
"연극";"das Theaterstück";;"kultur"
"악기";"das Musikinstrument";;"kultur"
"미술관";"das Kunstmuseum";;"kultur";"stadt"
"박수를 치다";"klatschen";;"kultur"
"박수";"der Applaus";;"kultur"
"감상";"der Genuss (von Film / Musik / Tanz)";"z.B. 취미는 음악 감상입니다";"kultur"
"등장인물";"die Figuren / Rollen";"z.B. in einem Film oder Roman";"kultur"
"구절";"der Satz / Vers";;"kultur"
"대표작";"das Meisterwerk";;"kultur"
"성악과";"der Gesangsunterricht";;"kultur";"lernen"
"악역";"der Bösewicht";"Als Rolle / Figur im Film oder Roman";"kultur"
"음반";"das Musik-Album";;"kultur"
"상징";"das Symbol";;"abstrakt";"kultur"
"세배";"die Neujahrsgrüsse";;"kultur"
"서술하다";"beschreiben";;"kultur";"schule"
"글말";"die Schriftsprache";;"kultur";"schule"
"전자책";"das E-Book";;"kultur";"technik"
"새기다";"eingravieren";;"kultur"
"비난";"die Kritik";;"abstrakt";"kultur"
"관람석";"die Zuschauerreihen";;"kultur"
"공주";"die Prinzessin";;"kultur";"politk"
"개봉";"die Premiere";;"kultur"
"교류";"der Austausch";;"kultur";"sozial"
"방송국";"der Rundfunksender";;"kultur"
"연예인";"die Entertainer:in";;"kultur"
"재주";"das Talent";;"kultur";"sport"
"허리를 굽혀 인사하다";"zur Begrüssung verbeugen";;"kultur"
"기사";"der Nachrichtenbeitrag / Artikel";;"kultur"
"동상";"die Statue";;"kultur";"stadt"
"보도";"der Nachrichtenbeitrag";;"kultur"
"시";"das Gedicht";;"kultur"
"공지하다";"bekannt machen";;"kultur";"politk"
"연출";"die Regie";;"kultur"
"영웅";"die Held:in";;"kultur"
"연주자";"die Spieler:in / Musiker:in";;"kultur"
"종이 울리다";"Glocke läuten";;"kultur"
"출연하다";"mitspielen (Film / Theater)";;"kultur"
"인어";"die Meerjungfrau";;"kultur";"sozial"
"음치";"die musikalische AnalphabetIn";;"kultur"
"도깨비";"der Kobold / Goblin";"Mythische Figur";"kultur"
"역할을 하다";"eine Rolle spielen";;"abstrakt";"kultur"
"신비";"das Mysterium";;"kultur"
"풍습";"der Brauch";;"kultur"
"연주";"die (musik) Vorstellung";;"kultur"
"개막하다";"eröffnen / einweihen";;"kultur"
"장면";"die Scene";;"kultur"
"반포하다";"veröffentlichen";;"kultur"
"광복절";"Tag der Befreiung (15. Aug)";"Wörtlich „Rückkehr des Lichts“ (광 = „Licht“, 복 = „Rückkehr“)
15. August 1945";"feiertag";"kultur"
"청취자";"die Hörer:in";;"kultur"
"따라서 부르다";"mitsingen";;"kultur"
"가사";"die Lyrics";;"kultur"
"록";"Rock (Musik)";;"kultur"
"재즈";"Jazz";;"kultur"
"발라드";"die Ballade";;"kultur"
"팝";"Pop (Musik)";;"kultur"
"힙합";"Hip-Hop";;"kultur"
"곡";"das Musikstück";;"kultur"
"예술성";"der künstlerische Wert";;"kultur"
"신곡";"neues Musikwerk";;"kultur"
"컴맹";"der Computer-Laie";;"kultur"
"문맹자";"die AnalphabetIn";;"kultur"
"전설";"die Legende";;"kultur"
"시청률";"die Einschaltquote";;"kultur"
"제목";"der Titel";;"kultur"
"연기";"das Schauspiel";;"kultur"
"장르";"das Genre";;"kultur"
"배경";"der Hintergrund";;"kultur"
"줄거리";"die Handlung (einer Geschichte)";;"kultur"
"관객";"das Publikum";;"kultur"
"시청자";"die Zuschauer:in";;"kultur"
"티비 시청하다";"fernsehen";;"kultur"
"감상하다";"betrachten";;"kultur"
"동화";"das Märchen";;"kultur"
"유령";"der Geist";;"kultur"
"귀신";"der Geist / das Gespenst";;"kultur"
"등급";"die Bewertung";;"kultur"
"책자";"die Brochure";;"kultur"
"글";"der Text";;"kultur";"schule"
"예절";"die Ettiquette";;"kultur";"sozial"
"문화 충격";"der Kulturschock";;"kultur"
"문화 차이";"die Kulturunterschiede";;"kultur"
"이야기";"die Geschichte";;"kultur"
"영감";"die Inspiration";;"kultur";"sozial"
"현실적이다";"realistisch sein";;"abstrakt";"kultur"
"작품";"das Kunstwerk";;"kultur"
"현대 건축물";"Gebäude moderner Architektur";;"kultur";"stadt"
"대중 음악";"Populär-Musik";;"kultur"
"악기 치다";"Instrument spielen";;"kultur"
"우화";"die Fabel";;"kultur"
"성가대";"der Kirchenchor";;"kultur"
"인형극";"das Puppentheater";;"kultur"
"축제";"das Festival";;"kultur"
"자연사 박물관";"das Naturkundemuseum";;"kultur"
"전시회";"die Ausstellung";;"kultur"
"미술";"die Malerei";;"kultur"
"예술";"die Kunst";;"kultur"
"궁궐";"der Palast";;"kultur";"stadt"
"방송";"der Rundfunk";;"kultur"
"전통";"die Tradition";;"kultur"
"문화";"die Kultur";;"kultur"
"사진 찍다";"ein Photo machen";;"kultur";"technik"
"일기";"das Tagebuch";;"kultur";"leben"
"소설";"der Roman";;"kultur"
"극장";"das Theater";;"kultur"
"무서운 영화";"der Horrorfilm";;"kultur"
"영화관";"das Kino";;"kultur";"stadt"
"영화";"der Film";;"kultur"
"음악";"die Musik";;"kultur"
"신문";"die Zeitung";;"kultur"
"잡지";"das Magazin";;"kultur"
