"희생";"das Opfer";"희생하다 = etw / sich opfern";"leben";"religion"
"사망자";"die Toten";"I.d.R. in Nachrichten bei Zahl der Toten";"leben"
"장례";"die Beerdigung";;"leben"
"모험하다";"Risiko eingehen";;"leben"
"무덤";"das Grab";;"leben"
"시집가다";"heiraten (als Frau)";"Wörtlich in das Haus der Schwiegereltern gehen.";"leben";"liebe"
"장가가다";"heiraten (als Mann)";"Wörtlich in das Haus der Schwiegereltern gehen.";"leben";"liebe"
"결혼식";"die Hochzeit";;"leben";"liebe"
"재충전을 하다";"neue Energie tanken";"Kann wörtlich oder metaphorisch sein.";"leben";"technik"
"자살";"der Selbstmord";;"leben"
"일상";"der Alltag";;"leben"
"수준";"das Niveau / Level";;"leben";"lernen";"menge"
"여한";"die Reue";"Reue über was man im Leben erreicht hat.
여한이 없다 → Keine Reue
여한이 남다 → Es bleibt Reue
zB: 이제 여한이 없습니다.";"leben";"redewendung"
"처박히다";"festsitzen / verkriechen";"Z.B. sich in zu Hause verkriechen
Umgangsprachlich";"leben"
"양면";"zweiseitig";"Bei Papier. Aber auch z.B. 인생의 양면 (die zwei Seiten des Lebens)";"leben"
"우환";"das Unglück";"Insbesondere Sorgen / Unglück in der Familie";"leben"
"은퇴";"der Ruhestand";;"leben"
"단둘이";"allein zu zweit";;"leben"
"청혼";"der Heiratsantrag";"청혼을 하다 = Antrag machen
청혼을 받다 = Antrag erhalten
청혼을 승낙하다 = Antrag annehmen
청혼을 거절하다 = Antrag ablehnen";"leben"
"잠들다";"einschlafen";;"leben"
"출신";"die Herkunft";"Auch “Absolvent” oder “Alumni”";"leben";"schule"
"촌";"das Dorf";;"leben";"stadt"
"죽이다";"töten";;"kausativ";"leben"
"모험";"das Abenteuer";;"leben"
"운명";"das Schicksal";;"leben"
"조언";"der Ratschlag";;"leben";"lernen"
"유전";"die Vererbung";;"leben";"wissenschaft"
"인생";"das Leben";"Menschenleben";"leben"
"장래성이 있다";"eine (vielversprechende) Zukunft haben";;"leben";"sozial"
"생가";"das Geburtshaus";;"leben";"stadt"
"죽음";"der Tod";;"leben"
"활기";"die Lebensenergie / Lebendigkeit";;"leben"
"도전";"die Herausforderung";;"abstrakt";"leben"
"사정";"die Situation / Umstände";"Eher für persönliche Situation";"abstrakt";"leben"
"살리다";"beleben / leben lassen";;"kausativ";"leben"
"사망하다";"sterben";;"leben"
"청춘";"die Jugend";;"leben"
"행동";"das Verhalten";;"leben";"sozial"
"정년";"die Volljährigkeit";;"leben"
"변화하다";"sich wandeln";;"abstrakt";"leben"
"심부름";"die Erledigung";;"leben"
"평생";"lebenslang";;"leben"
"발전하다";"entwickeln / wachsen";;"leben"
"살아가다";"sein Leben leben";;"leben"
"경제적인 여유";"wirtschaftlicher Erfolg";;"leben"
"거주하다";"bewohnen";;"leben"
"수면";"der Schlaf";;"leben"
"아침잠을 자다";"ausschlafen";;"leben"
"구조되다";"gerettet werden";;"leben"
"익숙하다";"sich gewöhnen";;"leben"
"적응하다";"sich anpassen";;"leben"
"살살하다";"es leicht nehmen";;"leben"
"묻다";"begraben";;"leben"
"위험하다";"gefährlich sein";;"leben";"sport"
"개인";"privat";;"leben";"sozial"
"잠이 들다";"einschlafen";;"leben"
"하숙집";"die Pension";;"leben"
"세수하다";"sich waschen";;"leben"
"취미";"das Hobby";;"leben"
