"피로연";"die Hochzeitsfeier";"Nicht für die Zeremonie sondern für die Party";"liebe";"sozial"
"혼례";"die Hochzeitszeremonie";"전통 혼례 = Traditionelle koreanische Hochzeit";"liebe"
"선을 보다";"Hereitsvermittlungstreffen besuchen";"Ein Treffen, das von Vermittlern oder Familie organisiert wird, um potenzielle Ehepartner kennenzulernen.";"liebe"
"짝사랑";"die unerwiderte Liebe";;"liebe"
"이혼하다";"sich scheiden lassen";;"liebe";"sozial"
"첫눈에 반하다";"sich auf den ersten Blick verlieben";;"liebe"
"이별하다";"sich trennen";;"liebe"
"상대자";"die Partner:in";;"liebe";"sozial"
"결혼기념일";"der Hochzeitstag";;"feiertag";"liebe"
"이상형";"der Traumtyp";;"liebe"
"훈남";"ein attraktiver Mann";;"liebe"
"바람을 피우다";"jmd. betrügen";;"liebe"
"함";"die Hochzeitskiste";;"liebe"
"신부";"die Braut";;"liebe"
"신랑";"der Bräutigam";;"liebe"
"성교하다";"sex haben";;"liebe"
"애인";"die Geliebte / FreundIn";;"liebe"
