"향상되다";"sich verbessern";;"abstrakt";"modal"
"소홀하다";"vernachlässigen";;"modal"
"극심하다";"äusserst schlimm sein";;"modal"
"부주의";"die Nachlässigkeit / Unachtsamkeit";;"modal"
"말도 안 돼!";"Das kann nicht wahr sein!";"말도 안 돼! 그가 정말 그런 짓을 했다고?";"modal";"redewendung"
"뒤집히다";"auf den Kopf gestellt werden";"발칵 뒤집히다 = In Aufruhr / Chaos geraten";"abstrakt";"modal"
"색다르다";"außergewöhnlich sein";;"modal"
"부당하다";"unfair sein";;"modal";"sport"
"혜택";"der Vorteil / Nutzen";;"abstrakt";"modal"
"뻔하다";"offensichtlich / vorhersehbar sein";;"modal"
"솔직하다";"ehrlich / direkt sein";;"modal"
"망치다";"ruinieren";"Auch verderben / etw. versauen.";"abstrakt";"modal"
"심각하다";"ernst / problematisch sein";;"modal"
"판단하다";"bewerten / beurteilen";;"abstrakt";"modal"
"의도";"die Absicht";;"abstrakt";"modal"
"확실";"sicher / zuverlässig";;"modal"
"불확실";"unsicher / unbestätigt";;"modal"
"틀림없다";"zweifellos";;"modal"
"기꺼이";"gerne";;"modal"
"싸가지 없다";"keinen Anstand haben";;"modal";"sozial"
"보나 마나";"offensichtlich";"Wörtlich Es ist unnötig (nach) zu sehen
z.B. 보나 마나 그는 또 늦을 거야.";"abstrakt";"modal"
"...에 빠지다";"...in geraten";;"modal"
"무자비하다";"grausam sein";;"modal"
"아무짝에도 쓸모가 없다";"zu nichts Nutze sein";;"modal";"redewendung"
"...당하다";"...erleiden / betroffen werden";"z.B.
부상을 당하다 = verletzt werden";"modal"
"사소하다";"unbedeutend sein";;"modal"
"글쎄";"keine Ahnung";;"modal";"redewendung"
"긍정적이다";"positiv sein";;"modal"
"부정적이다";"negativ sein";;"modal"
"어머!";"Wow!";;"modal";"redewendung"
"어울리다";"zusammen passen";;"modal"
