"노동 조합";"die Gewerkschaft";"Kurz: 노조";"politk";"wirtschaft"
"임금";"die Monarch:in";;"politk"
"대표하다";"repräsentieren";;"politk"
"질서";"die Ordnung";"Auch „Disziplin“
z.b. auch 새 질서 = neue Ordnung";"politk";"schule"
"찬성하다";"zustimmen";;"abstrakt";"politk"
"임기";"die Amtszeit";"Auch Wahlperiode";"politk"
"친애하는";"liebe:r / geschätzte:r";"zb: 친애하는 여러분!";"politk";"sozial"
"투표하다";"wählen / abstimmen";;"politk"
"시위대";"die Protestierenden / Demonstranten";;"politk"
"항쟁";"der Aufstand";;"politk"
"항의하다";"protestieren";;"politk"
"대표자";"der Repräsentant / Vertreter";;"politk"
"정부";"die Regierung";;"politk";"verwaltung"
"국회의사당";"das Parlamentsgebäude";;"politk";"stadt"
"국회";"das Parlament";;"politk"
"대통령";"die Präsident:in";;"politk"
"의견";"die Meinung";;"politk"
"투표";"die Wahl";;"politk"
"정당";"die Partei";;"politk"
"총리";"die Premierminister:in";;"politk"
"선거";"die Wahl";;"politk"
"대사관 직원";"die Botschaftsangestellte";;"politk"
