"음기";"Yin-Energie";"Kühle, passive Energie. Gegenteil zu Yang-Energie: 양기";"religion"
"양기";"Yang-Energie / Chi";"Gegenteil zu Yin-Energie: 음기";"religion"
"선교";"die Missionsarbeit";"Im christlichen Glauben";"religion"
"찬송하다";"lobpreisen";;"religion"
"심방";"der Pastoral-Besuch";"Wenn ein Priester einen gläubigen besucht";"religion"
"지옥";"die Hölle";;"religion"
"축복";"der Segen";;"religion"
"영혼";"die Seele";;"religion"
"양심";"das Gewissen";;"religion"
"기적";"das Wunder";;"abstrakt";"religion"
"찬양하다";"preisen";;"religion"
"복음";"die frohe Botschaft / neues Testament";;"religion"
"찬미하다";"preisen";;"religion"
"성령";"der heilige Geist";;"religion"
"시편";"der Psalm";;"religion"
"부활절";"Ostern";;"feiertag";"religion"
