"가로";"waagerecht";;"richtung"
"주변에";"in der Nähe";;"richtung";"stadt"
"높이다";"erhöhen";;"richtung"
"돌아가다";"abbiegen";;"richtung"
"똑바로";"gerade";"Auch „richtig herum“ / „aufrecht“";"richtung"
"겉";"das Äussere";;"form";"richtung"
"제회하다";"gegenüberstehen";;"richtung"
"복판에";"in der Mitte / zwischen";;"richtung"
"내다보다";"herausschauen / beobachten";;"richtung"
"도로";"zurück";;"richtung"
"전국";"landesweit";;"richtung"
"향하다";"ausrichten";;"richtung"
"우측";"rechts";;"richtung"
"마주하다";"gegenüber stehen";;"richtung"
"마주";"vis-à-vis";;"richtung"
"정면으로";"direkt / frontal";;"richtung"
"너머";"jenseits";;"richtung"
"안쪽";"die Innenseite";;"form";"richtung"
"들여다보다";"hinein blicken";;"richtung"
"집안에";"zu Hause";;"richtung";"wohnen"
"꺼내다";"hervorbringen / herausholen";;"aktivität";"richtung"
"떠오르다";"auftauchen";;"richtung"
"구석구석";"in jeder Ecke";;"richtung"
"쫓아다니다";"hinterher sein";;"richtung"
"내려다보다";"herabsehen";;"richtung"
"깊이";"die Tiefe";;"form";"richtung"
"좌우";"rechts und links";;"richtung"
"횡단하다";"überqueren";;"bewegung";"richtung";"verkehr"
"위치";"die Position";;"richtung"
"속";"das Innere / der Inhalt";;"richtung"
"방향";"die Richtung";;"richtung"
"바깥";"draussen";;"richtung"
"사이";"der Abstand";;"richtung"
"처지다";"herabhängen";;"bewegung";"richtung"
"되돌아가다";"zurückkehren (zum Ausgangspunkt)";;"richtung"
"지도";"die Karte";;"geographie";"richtung";"stadt"
"약도";"die Skizzen-Karte";;"richtung";"stadt"
"돌아가다";"zurückkehren";;"richtung"
"지름길";"die Abkürzung";;"richtung";"stadt"
"뛰어나다";"herausragen";;"adjektiv";"richtung"
"중점";"der Mittelpunkt";;"richtung"
"속에";"innen";;"richtung"
"샅샅이";"überall";;"richtung"
"아래층";"das Souterrain";;"richtung";"stadt";"wohnen"
"중심";"das Zentrum";;"form";"richtung"
"지나다";"vorbeigehen";;"bewegung";"richtung";"zeit"
"넘다";"übersteigen";;"richtung";"zeit"
"세워지다";"aufgerichtet sein";;"richtung"
"따라가다";"folgen";;"richtung"
"바르다";"gerade sein";;"richtung"
"주변";"die Umgebung";;"richtung";"stadt"
"외모";"das Äussere";;"form";"richtung"
"내면";"das Innere";;"form";"richtung"
"...안에";"...<im inneren von>";;"richtung";"zeit"
"중간에";"in der Mitte";;"adverb";"richtung"
"좌회전하다";"links abbiegen";;"richtung"
"건너다";"überqueren";;"bewegung";"richtung";"verkehr"
"직진하다";"gerade aus gehen";;"richtung"
"우회전하다";"rechts abbiegen";;"richtung"
"올라가다";"hoch gehen / aufsteigen";;"richtung"
"쭉";"direkt / gerade";;"richtung"
"여기저기";"hier und da";;"richtung"
"근처";"die Umgebung";;"richtung";"stadt"
