"땡땡이 까다";"schwänzen";"Lautmalerisch.
학교에서 땡땡이 까.";"schule"
"야자";"das nächtliche Selbststudium";"Kurzform von 야간 자율 학습. Praxis in koreanischen Schulen, bei der Schüler nach dem Unterricht abends zum Lernen in der Schule bleiben.";"schule"
"채점";"die Benotung";"채점하다 = benoten / bewerten";"schule"
"고사";"der Test";"z.B. 중간 고사 = Mittelstufen-Prüfung";"schule"
"감상문";"der Erlebnisbericht";"Beschreibung von erlebten Eindrücken. vor allem als Aufsatzthema in der Schule.";"schule"
"맞춤법";"die Rechtschreibung";;"schule";"sprache"
"통과하다";"bestehen / passieren";"z.b. 예선을 통과하다 = Vorauswahl bestehen";"schule";"sport"
"반장";"Gruppenleiter:in / Klassensprecher:in";"z.B. auch beim Militär oder Polizei Zugführer:in";"schule"
"점수";"die Punkte / Noten";;"schule"
"복학하다";"zur Schule zurückkehren";"Zb nach einem Urlaubsemester";"schule"
"응시";"die (Aufnahme-) Prüfung";;"schule"
"가";"richtig / Zustimmung / Bestehen";"z.B. bei Tests oder Abstimmungen
가 불가 = richtig und falsch";"abstrakt";"schule"
"불가";"falsch / verneint / nicht Bestehen";"z.B. bei Tests oder Abstimmungen
가 불가 = richtig und falsch";"abstrakt";"schule"
"휴학하다";"Urlaubssemester nehmen";;"schule"
"신입생";"die Erstsemester / Ersties";;"schule"
"수학";"die Mathematik";;"schule"
"교지";"die Schülerzeitung";;"schule"
"초급";"die erste Stufe / Klasse";;"schule"
"학습자";"die Lernende";;"schule"
"학습하다";"lernen / studieren";;"schule"
"불량배";"die Rowdies";;"schule";"sozial"
"과제";"die Hausaufgabe / Aufsatz";;"schule"
"생물학";"die Biologie";;"schule";"wissenschaft"
"석사";"der Masterabschluss";;"schule"
"개학";"der Schulanfang";;"schule"
"가르침";"die Lehre";;"schule"
"교장님";"der Schuldirektor";;"schule"
"강의하다";"unterrichten";;"schule"
"검사";"die Prüfung / Untersuchung";;"schule"
"철자";"die Rechtschreibung";;"schule";"sprache"
"시험하다";"testen / untersuchen";;"schule"
"동창회";"das Klassentreffen";;"schule"
"평가하다";"bewerten";"z.B. Immobilien oder Schüler:innen bewerten";"abstrakt";"schule"
"문어체";"die Schriftsprache";;"schule";"sprache"
"전공";"das Hauptfach";;"schule"
"학용품";"die Schulsachen";;"schule"
"장학금";"das Stipendium";;"schule"
"집중하다";"sich konzentrieren";;"schule"
"성취하다";"erreichen";;"schule"
"퇴학하다";"die Schule abschliessen";;"schule"
"강연";"die Vorlesung";;"schule"
"수료증";"das Abschlusszertifikat";;"schule"
"동창";"die MitschülerIn";;"schule"
"진학하다";"mit dem Studium beginnen";;"schule"
"유학";"das Auslandsstudium";;"schule"
"만점";"die Volle Punktzahl";;"schule"
"점";"der Punkt";"also credit";"schule";"sprache"
"빈칸";"die Leerstelle";;"schule"
"전자 사전";"das elektronische Wörterbuch";;"schule"
"입학하다";"eingeschult werden";;"schule"
"대학교";"die Hochschule";;"schule"
"성적";"die Schulnote";;"schule"
"어학연수";"die Sommerschule";;"schule"
"무단 결석하다";"schwänzen";;"schule"
"필통";"das Federmäppchen";;"schule"
"수험하다";"geprüft werden";;"schule"
"받아쓰기";"das Diktat";;"schule"
"부교재";"das Übungsbuch";;"schule"
"레슨";"die Lektion (lesson)";;"schule"
"급";"die Klasse / das Level";;"schule"
"규칙";"die Regel";;"schule"
"졸업식";"die Abschlussfeier";;"schule"
"붙이다";"aufkleben / befestigen";"Kausativ von 붙다";"kausativ";"schule"
"짝꿍";"die Banknachbar:in";;"schule"
"동아리";"der Studenten-Club";;"schule"
"익히다";"üben / trainieren";;"schule"
"표시하다";"markieren";;"schule"
"교복";"die Schuluniform";;"schule"
"등록하다";"sich registrieren";"[등노캐]";"schule"
"대학원";"Graduierten-Kolleg";;"schule"
"모법생";"der Streber";;"schule"
"예습하다";"vorauslernen";;"schule"
"교육";"die Bildung";;"schule"
"칠판";"die Tafel";;"schule"
"강의";"die Vorlesung";;"schule"
"졸다";"dösen";;"schule"
"복습";"die Überprüfung";;"schule"
"기숙사";"das Wohnheim";;"schule"
"학기";"das Semester";;"schule"
"중학교";"die Mittelschule";;"schule"
"초등학교";"die Grundschule";;"schule"
"교과서";"das Schulbuch";;"schule"
"고등학교";"die Oberschule";;"schule"
"지우개";"der Radiergummi";;"schule"
"자";"das Lineal";;"schule"
"공책";"das Schulheft";;"schule"
"학생회관";"das Studentenhaus";;"schule"
"한국어";"die koreanische Sprache";;"schule";"sprache"
"사전";"das Wörterbuch";;"schule"
