"상대";"Partner / Gegenüber / Gegner";"Normalerweise eher Partner; im Sport Gegner";"sozial";"sport"
"별명";"der Spitzname";;"sozial"
"저분";"die Person dort";;"sozial"
"가시나";"das Mädchen";"Umgangssprachlich / Dialekt. Kann auch abwertend sein";"sozial"
"존재";"die Existenz / Person";;"sozial"
"칭찬하다";"loben / Komplimente machen";;"sozial"
"환영회";"der Empfang / das Begrüssungstreffen";;"sozial"
"청년";"der junge Erwachsene";;"sozial"
"상관";"die Verbindung / Beziehung";;"sozial"
"회";"die Versammlung";;"sozial"
"둘러싸이다";"umgeben / belagert sein";"둘러싸다 = umgeben / belagern";"sozial"
"친근";"die Nähe / Freundschaft";;"sozial"
"얘";"Hey / Du da";"Z.b. 얘들아!";"sozial"
"들어차다";"vollgestopft sein";;"sozial"
"공정하다";"gerecht sein";;"sozial"
"마중하다";"jmd. abholen";;"sozial"
"배웅하다";"verabschieden";;"sozial"
"본인";"persönlich";;"sozial"
"일행";"die Gruppe";;"sozial"
"약속을 어기다";"ein Versprechen brechen";;"sozial"
"소란";"der Tumult";;"sozial";"stadt"
"사람들 붐비다";"überfüllt sein";;"sozial";"stadt"
"친절";"die Freundlichkeit";;"sozial"
"명단";"die Namensliste";;"sozial"
"해결사";"der Problemlöser";;"sozial"
"회피하다";"meiden";;"sozial"
"속물";"der Snop";;"sozial"
"놈";"der Kerl / Typ";;"sozial"
"우리네";"wir alle";;"sozial"
"녀석";"der Typ";;"sozial"
"참견하다";"sich einmischen";;"sozial"
"맞아들이다";"aufnehmen / empfangen (Gäste)";;"sozial"
"반입하다";"mitbringen";;"sozial"
"무리";"die Gruppe";;"sozial"
"악수하다";"Hände schütteln";;"sozial"
"무례하다";"unhöflich sein";;"sozial"
"호칭";"die Personenbezeichnung / der Titel";;"sozial"
"부재중";"in Abwesenheit";;"sozial"
"이";"die Person";;"sozial"
"가하다";"richtig / angemessen sein";;"sozial"
"불가하다";"falsch / unangemssen sein";;"sozial"
"양해";"das Einverständnis";;"sozial"
"변테";"der Perverse";;"sozial"
"예의";"die Ettiquette";;"sozial"
"거리감";"der Sinn für Entfernung";;"sozial"
"친밀하다";"eng / vertraut sein (mit jmd.)";;"sozial"
"이십대";"die Tweens";;"sozial"
"반응";"die Reaktion";"Chemisch als auch für Menschen";"sozial";"technik"
"사이";"die Beziehung";;"abstrakt";"sozial"
"안부";"die Grüsse";;"sozial"
"참석 인원";"die Teilnehmer:in";;"sozial";"sport"
"예의를 바르다";"gute Manieren haben";;"sozial"
"개성";"der eigene Stil";;"sozial"
"주인공";"die Hauptfigur";;"sozial"
"낄낄하다";"kichern";;"sozial"
"동갑";"die Gleichaltrige";;"sozial"
"성명";"der Name";;"sozial"
"청소년";"die Jugendlichen";;"sozial"
"연락처";"die Kontaktdaten";;"sozial"
"인원";"die Personenzahl";;"sozial";"zähler"
"개인";"persönlich";;"sozial"
"객";"die BesucherIn";;"sozial"
"구십도로 인사하다";"sich tief verneigen";"wörtlich: 90° verbeugen";"sozial"
"후배";"der / die Jüngere";"Ähnlich wie engl. Junior";"sozial"
"선배";"der / die Ältere";"Ähnlich wie engl. Senior";"sozial"
"목표";"das Ziel";;"sozial"
"낯선 사람";"die Fremde (Person)";;"sozial"
"수다쟁이";"die Plaudertasche";;"sozial"
"놀러가다";"(etw. mit jmd.) unternehmen";;"sozial"
"만남";"das Treffen";;"sozial"
"첫인상";"der erste Eindruck";;"sozial"
"모이다";"sich versammeln";;"sozial"
"자녀";"Buben und Mädchen";;"sozial"
"잘 싸우다";"heftig streiten";;"sozial"
"싸우다";"streiten";;"sozial"
"결석하다";"abwesend sein";;"sozial"
"친한 친구";"der enge Freund";;"sozial"
"아이";"das Kind";;"sozial"
"두 살 이다";"zwei Jahre alt sein";;"sozial"
"몇 살?";"Wie alt?";;"sozial"
"공자";"der Prinz";;"sozial"
"왕자";"der Prinz";;"sozial"
"직접";"persönlich / direkt";;"sozial"
"사귀다";"kennenlernen";;"sozial"
"모임";"das Treffen";;"sozial"
"눈치";"das Einfühlvermögen";;"sozial"
"친구";"der Freund";;"sozial"
"약속";"das Versprechen";;"sozial"
"회사원";"der Geschäftsmann";;"sozial"
