"요가";"Yoga";;"sport"
"경쟁";"der Wettbewerb";"Im Sport aber auch wirtschaftlich";"sport";"wirtschaft"
"씨름";"koreanisches Ringen";;"sport"
"보디빌딩";"Bodybuilding";;"sport"
"뜀박질 / 달음박질";"das Rennen";;"sport"
"...위";"...te Platz";"z.B. 1위를 하다";"sport"
"...등";"...te Platz";"z.B. 1등를 하다";"sport"
"경기장";"das Sportstadion";;"sport"
"수영장";"das Schwimmbad";;"sport";"stadt"
"등반하다";"klettern";;"sport"
"산악자전거";"das Mountainbike";;"sport"
"농구";"Basketball";;"sport"
"동점";"der (Punkte-)Gleichstand";;"sport"
"승패";"Sieg oder Niederlage / Entscheidung";;"sport"
"공";"der Ball";;"sport"
"본선";"die Endauswahl";"Das Finale";"sport"
"예선";"die Vorauswahl";;"sport"
"우승";"der Sieg / Meisterschaftstitel";"우승하다 > die Meisterschaft gewinnen";"sport"
"타자";"der Schlagmann";;"sport"
"사냥하다";"jagen";;"sport"
"사냥";"die Jagd";;"sport"
"포수";"der Fänger";;"sport"
"방망이";"der Schläger / Stock";;"sport"
"삼진";"der Strikeout";;"sport"
"신기록";"der Rekord";;"sport"
"골을 넣다";"Tor schiessen / punkten";;"sport"
"헤엄치다";"schwimmen / baden";;"sport"
"외야";"das Aussenfeld";;"sport"
"투수";"der Pitcher";;"sport"
"투구";"der Wurf";;"sport"
"시합";"das Spiel / Match";;"sport"
"우익";"die rechte Flanke";;"sport"
"전략적";"strategisch";;"abstrakt";"sport"
"일주";"die Runde / Rundfahrt";;"sport";"stadt"
"리그전";"die Liga";;"sport"
"이기다";"gewinnen (Spiel)";;"sport"
"지다";"verlieren (Spiel)";;"sport"
"겨냥하다";"zielen";;"sport"
"던지다";"werfen";;"sport"
"구명 조끼";"die Schwimmweste";;"sport"
"꼴등";"der Letzte";;"sport"
"응원하다";"anfeuern";;"sport"
"축구";"Fussball";;"sport"
"바독";"das Go Spiel";;"sport"
"도장";"die Übungshalle / Dojo";;"sport"
"뛰다";"rennen";;"sport"
"운동화";"die Sportschuhe";;"sport"
"뛰어내리다";"hinunter springen";;"sport"
"당구";"Billard";;"sport"
"등산하다";"wandern / Bergsteigen";;"sport"
"체육관";"das Fitnesscenter";;"sport"
"운동하다";"Sport machen";;"sport"
"운동장";"die Turnhalle";;"sport"
