"가로등";"die Strassenlaterne";;"stadt"
"우물";"der Brunnen";;"stadt"
"구립";"der Stadtteil / Bezirk";;"stadt"
"바람막이";"der Windschutz";;"stadt";"wetter"
"길거리";"die Strasse(n)";"zb: 길거리를 헤매다";"stadt"
"쉼터";"der Rastplatz";"Von “shelter”? Auch zb. Pavillion.";"stadt"
"분수";"der Springbrunnen";;"stadt"
"혼잡하다";"überlaufen sein";;"stadt"
"주위";"die Umgebung";;"stadt"
"궁전";"der Palast";;"stadt"
"어촌";"das Fischerdorf";;"stadt"
"소도시";"die Kleinstadt";;"stadt"
"대도시";"die Grossstadt";;"stadt"
"도시적이다";"städtisch sein";;"stadt"
"첨탑";"der Kirchturm";;"stadt"
"상징물";"das Wahrzeichen";;"stadt"
"항구";"der Hafen";;"stadt"
"공식적인 자리";"der öffentliche Ort";;"stadt"
"상가";"das Geschäftsviertel";;"stadt"
"관공서";"das Bürgeramt";;"stadt";"verwaltung"
"소방서";"die Feuerwache";;"stadt"
"고가도";"der Übergang";;"stadt"
"육교";"die Fussgängerbrücke";;"stadt"
"광장";"der Platz";;"stadt"
"담";"die Mauer";;"stadt"
"동네";"die Nachbarschaft";;"stadt"
"시청";"das Rathaus";;"stadt"
"교외";"der Vorort";;"stadt"
"입구";"der Eingang";;"stadt"
"벤치";"die Parkbank";;"stadt"
"공원";"der Park";;"stadt"
"도시";"die Stadt";;"stadt"
"식물원";"der Botanische Garten";;"stadt"
"서점";"die Buchhandlung";;"stadt"
"건물";"das Gebäude";;"stadt"
"우체국";"das Postamt";;"stadt"
