"다리";"die Brücke";;"stadt";"verkehr"
"질주하다";"rasen / schnell sein";;"bewegung";"verkehr"
"난향";"die schwierige Fahrt";"z.b. bei Sturm. Aber auch metaphorisch für herausfordernde Zeit. 난항을 겪다";"abstrakt";"verkehr"
"마차";"die Kutsche";;"technik";"verkehr"
"가로";"die Strasse";"Eher formell und technisch, bezieht sich auf Straßen im stadtplanerischen Sinn oder in zusammengesetzten Wörtern wie 가로등 oder 가로수";"stadt";"verkehr"
"부딪치다";"zusammenstossen";;"bewegung";"verkehr"
"과속";"das Rasen / zu schnelles Fahren";;"verkehr"
"벨트를 매다";"sich anschnallen";;"verkehr"
"교통이 편리하다";"verkehrsgünstig sein";;"verkehr"
"빈자리";"der freie Sitzplatz";;"ausgehen";"verkehr"
"금연석";"der Nichtraucherplatz";;"ausgehen";"verkehr"
"중고차";"der Gebrauchtwagen";;"geld";"verkehr"
"태우다";"mitnehmen / befördern";"Kausativ von 타다";"kausativ";"verkehr"
"통행하다";"passieren / durchkommen";;"bewegung";"verkehr"
"하차하다";"aussteigen";;"verkehr"
"승객";"die Passagier:in";;"verkehr"
"대형차";"die Limusine";;"verkehr"
"빙판";"das Glatteis";;"verkehr"
"불법 주차";"das Falschparken";;"verkehr"
"좌석";"der Sitzplatz";;"verkehr";"wohnen"
"보행하다";"zu Fuss gehen";;"bewegung";"verkehr"
"항공사";"die Airline";;"verkehr"
"환승하다";"umsteigen";;"verkehr"
"노선";"die (Bahn- / Bus-) Linie";;"verkehr"
"차선";"die Fahrspur";;"verkehr"
"표지판";"das Verkehrsschild";;"verkehr"
"이정표";"die Wegmarke";;"verkehr"
"골목";"die Seitengasse";;"stadt";"verkehr"
"도로";"die Strasse";"Bezieht sich speziell auf Straßen oder Fahrbahnen, die für den Fahrzeugverkehr bestimmt sind.";"stadt";"verkehr"
"지하도";"die Unterführung";;"stadt";"verkehr"
"터널";"der Tunnel";;"stadt";"verkehr"
"항공";"die Luftfahrt";;"verkehr"
"놓치다";"verpassen / verlieren";"z.B. 버스를 놓쳤어요.";"verkehr"
"출퇴근 시간";"die Stosszeit";;"verkehr";"zeit"
"운전면허";"der Führerschein";"Auch 운전 면허증";"verkehr"
"정거장";"die Haltestelle";;"verkehr"
"거리";"die Strasse";"Allgemeine Bezeichnung für Straßen oder Gassen, oft für belebte Straßen oder Fußgängerbereiche verwendet.";"stadt";"verkehr"
"고속 버스";"der Express-Bus";;"verkehr"
"세차하다";"Auto waschen";;"verkehr"
"세우다";"zum stehen bringen / anhalten";"Kausativ von 서다";"bewegung";"kausativ";"verkehr"
"보도";"der Gehweg";;"stadt";"verkehr"
"차도";"die Strasse";;"stadt";"verkehr"
"갈아타다";"umsteigen";;"verkehr"
"사거리 지나다";"Kreuzung überqueren";;"stadt";"verkehr"
"삼거리";"die T-Kreuzung";;"stadt";"verkehr"
"사거리";"die Kreuzung";;"stadt";"verkehr"
"교통이 복잡하다";"viel Verkehr sein";;"verkehr"
"길이 막히다";"Strasse verstopft sein";;"verkehr"
"내려 주세요";"bitte lassen Sie mich aussteigen";;"basis satz";"verkehr"
"횡단 보도";"der Zebrastreifen";;"verkehr"
"교통사고";"der Verkehrsunfall";;"verkehr"
"사고가 나다";"Unfall passieren";;"verkehr"
"운전하다";"fahren / steuern";;"verkehr"
"자동차";"das Automobil";;"verkehr"
"직항";"der non-stop Flug";;"verkehr"
"정류장";"die Bushaltestelle";;"verkehr"
