"열풍";"der Sturm / starker Wind";;"wetter"
"강수";"der Niederschlag";;"wetter"
"기후";"das Klima";;"wetter"
"우중충하다";"düster / trüb sein (Wetter)";;"wetter"
"포근하다";"angenehm warm / kuschelig sein";;"wetter"
"화창하다";"sonnig / klar sein";;"wetter"
"한겨울";"tiefster Winter";;"wetter"
"한여름";"der Hochsommer";;"wetter"
"기상청";"der Wetterdienst";;"wetter"
"가물 / 가뭄";"die Dürre";;"wetter"
"풍향";"die Windrichtung";;"wetter"
"섭씨";"Celsius";;"wetter";"wissenschaft"
"화씨";"Fahrenheit";;"wetter";"wissenschaft"
"온도";"die Temperatur";;"wetter";"wissenschaft"
"더위";"die Hitze";;"wetter"
"추위";"die Kälte";;"wetter"
"푹푹 찌다";"extrem schwül sein";;"wetter"
"철";"die Saison";;"wetter"
"비바람";"Regen und Wind";;"wetter"
"얼어붙다";"einfrieren";;"wetter"
"환절기";"der Jahreszeitenwechsel";;"wetter"
"적설량";"der Schneefall";;"wetter"
"선선하다";"erfrischend kühl sein";;"wetter"
"영하";"der Frost";;"wetter"
"영상";"über null Grad";;"wetter"
"얼음이 지다";"sich Eis bilden";;"wetter"
"얼다";"gefrieren";;"wetter"
"폭설";"der starke Schneefall";;"wetter"
"폭우";"der Starkregen";;"wetter"
"폭풍";"der Sturm";;"wetter"
"건기";"die Trockenzeit";;"wetter"
"우기";"die Regenzeit";;"wetter"
"열대야";"die tropische Nacht";;"wetter"
"습도";"der Feuchtigkeitsgehalt";;"wetter"
"무더위";"das schwüle Wetter";;"wetter"
"먹구름";"dunkle Wolken";;"wetter"
"부덥다";"schwül sein";;"wetter"
"쌀쌀하다";"kühl sein";;"wetter"
"건조하다";"trocken sein";;"wetter"
"소나기가 내리다";"(Regen) schauern";;"wetter"
"태풍이 오다";"Taiphun aufziehen";;"wetter"
"번개가 치다";"Blitz einschlagen";;"wetter"
"천둥이 치다";"donnern";;"wetter"
"햇빛이 강하다";"Sonne stark scheinen";;"wetter"
"비가 그치다";"zu regnen aufhören";;"wetter"
"구름이 끼다";"Wolken aufziehen";;"wetter"
"기상";"die Meteorologie";;"wetter";"wissenschaft"
"공기가 나쁘다";"schlechte Luft sein";;"wetter"
"바람이 세다";"stürmisch sein";;"wetter"
"장마";"die Regenzeit";;"wetter"
"미끄럽다";"rutschig sein";;"wetter"
"번개";"der Blitz";;"wetter"
"천둥";"der Donner";;"wetter"
"기온";"die Temperatur";;"wetter"
"안개가 끼다";"neblig sein";;"wetter"
"천둥번개가 치다";"gewittern";;"wetter"
"일기예보";"der Wetterbericht";;"wetter"
"낮";"der Tag / Tageslicht";;"wetter"
