"조선";"der Schiffbau";;"wirtschaft"
"제작사";"die Herstellerfirma";;"wirtschaft"
"개발 도상국";"das Entwicklungsland";;"wirtschaft"
"불황";"die Wirtschaftskrise";;"wirtschaft"
"예년";"das Durchschnitts-Jahr";;"wirtschaft"
"하락";"der Rückgang / Verfall";"Insbesondere für Preise";"wirtschaft"
"창업";"die Unternehmensgründung";;"wirtschaft"
"경기";"das Geschäftsklima / die Lebenssituation";;"wirtschaft"
"기업";"das Unternehmen";;"wirtschaft"
"장사";"die Geschäfte / die Branche";"Im abstrakten Sinn.";"wirtschaft"
"효율";"die Effizienz";;"wirtschaft"
"무역량";"das Handelsvolumen";;"wirtschaft"
"분야";"das Gebiet / die Branche";;"wirtschaft";"wissenschaft"
"공동";"die Zusammenarbeit / Gemeinschaft";;"wirtschaft"
"생산";"die Produktion";;"wirtschaft"
"상업";"der Handel";;"wirtschaft"
"공업";"die Industrie";;"wirtschaft"
"민간 단체";"die private Organisation";;"wirtschaft"
"목장";"die Viehzucht";;"wirtschaft"
"낙농업";"die Milchwirtschaft";;"wirtschaft"
"농업";"die Landwirtschaft";;"wirtschaft"
"능률적이다";"effizient sein";;"wirtschaft"
"능률";"die Effizienz";;"wirtschaft"
"위기";"die Krise";;"wirtschaft"
"도입하다";"einführen / importieren";;"wirtschaft"
"산업";"die Industrie";;"wirtschaft"
"건설업";"die Bauindustrie";;"wirtschaft"
"성장";"das Wachstum";;"wirtschaft"
"대기업";"der Grosskonzern";;"wirtschaft"
"안정성";"sicherer Arbeitsplatz";;"wirtschaft"
"안정적이다";"stabilisieren";;"abstrakt";"wirtschaft"
"도매";"der Grosshandel";;"wirtschaft"
"소매";"der Einzelhandel";;"wirtschaft"
"농사 짓다";"Landwirtschaft betreiben";;"wirtschaft"
"농사";"die Landwirtschaft";;"wirtschaft"
"알차다";"produktiv sein";;"wirtschaft"
