"담벼락";"die Mauer / Wand";;"stadt";"wohnen"
"조립하다";"zusammenbauen";;"aktivität";"arbeit";"wohnen"
"빨랫줄";"die Wäscheleine";;"wohnen"
"가스";"das Gas";;"material";"wohnen"
"등";"die Laterne / Lampe";;"wohnen"
"들어가다";"nach Hause gehen";"Wörtlich eigentlich “hineingehen”";"arbeit";"bewegung";"wohnen"
"비누칠하다";"einseifen";;"leben";"wohnen"
"장식";"die Verzierung / Dekoration";;"kleidung";"wohnen"
"걸레질하다";"wischen";;"wohnen"
"쓸다";"fegen / wischen";;"wohnen"
"세탁기를 돌리다";"Waschmaschiene laufen lassen";;"wohnen"
"세탁세제";"das Waschmittel";;"wohnen"
"주방세제";"das Spülmittel";;"wohnen"
"쓰레받기";"die Kehrschaufel";;"wohnen"
"빗자루";"der Besen";;"wohnen"
"먼지를 털다";"abstauben";"Staub ausschütteln";"wohnen"
"손빨래";"die Handwäsche";;"wohnen"
"쓰레기통";"der Mülleimer";"쓰레기통 비우다";"stadt";"wohnen"
"쓰레기";"der Müll";"쓰레기를 버리다";"stadt";"wohnen"
"대걸레";"der Wischmopp";;"wohnen"
"걸레";"der Putzlappen";;"wohnen"
"아늑하다";"gemütlich sein";;"gefühl";"wohnen"
"가전 제품";"das Haushaltsgerät";;"wohnen"
"공용";"öffentlich / gemeinschaftlich";;"gesellschaft";"stadt";"wohnen"
"이삿짐";"das Umzugsgut";;"wohnen"
"이삿날";"der Umzugstag";;"wohnen"
"보증금";"die Kaution";"z.B. bei Wohnung, Mietwagen etc";"geld";"wohnen"
"이삿짐센터";"die Umzugsfirma";;"wohnen"
"말리다";"trocknen";;"wetter";"wohnen"
"이불";"die Bettdecke";;"wohnen"
"전세";"das Jeonse Mietsystem";;"geld";"wohnen"
"밥상";"der Esstisch";;"wohnen"
"단장";"die Deko / das Make-Up";;"kleidung";"stadt";"wohnen"
"먼지";"der Staub";;"wohnen"
"옮기다";"(etwas) schieben";"Zb. Möbel verschieben oder umziehen";"bewegung";"wohnen"
"청결";"die Sauberkeit";;"gesundheit";"wohnen"
"커튼";"die Vorhänge";"Curtain";"wohnen"
"카펫";"der Teppich";"Carpet";"wohnen"
"쿠션";"das Kissen";"Cushion";"wohnen"
"액자";"der Bilderrahmen";;"wohnen"
"대문";"das Tor";;"stadt";"wohnen"
"딸리다";"ausgestattet sein";;"wohnen"
"사다리";"die Leiter";;"technik";"wohnen"
"저택";"das Anwesen";;"wohnen"
"문고리";"die Türklinke";;"wohnen"
"농촌";"das Landleben";;"leben";"wohnen"
"책장";"das Regal";;"wohnen"
"욕조";"die Badewanne";;"gesundheit";"wohnen"
"꾸미다";"dekorieren";;"wohnen"
"설치하다";"ausstatten";;"wohnen"
"수납장";"die Kommode";;"wohnen"
"서랍장";"die Kommode";;"wohnen"
"현관";"die Vordertür";;"wohnen"
"서재";"das Arbeitszimmer";;"wohnen"
"안방";"das Eltern-Schlafzimmer";;"wohnen"
"단독주택";"das Einfamilienhaus";;"wohnen"
"탁자";"der Tisch";;"wohnen"
"대";"die Stange / der Halter";;"wohnen"
"구겨지다";"zerknittern";;"form";"wohnen"
"건조대";"der Wäscheständer";;"wohnen"
"빨래를 널다";"Wäsche aufhängen";;"wohnen"
"청소기 돌리다";"staubsaugen";;"wohnen"
"깔끔하다";"sauber / ordentlich sein";;"kleidung";"wohnen"
"갖추다";"ausgestattet sein / verfügen";;"wohnen"
"청정";"die Reinheit";;"gesundheit";"wohnen"
"초";"die Kerze";;"wohnen"
"실내";"der Innenraum";;"wohnen"
"냉방";"der klimatisierte Raum";;"wohnen"
"난방";"die Heizung";;"wohnen"
"세탁물";"die (schmutzige) Wäsche";;"wohnen"
"두루마리";"das Toilettenpapier";;"wohnen"
"식탁";"der Esstisch";;"wohnen"
"월세";"die Monatsmiete";;"geld";"leben";"wohnen"
"마당";"der Hof";;"wohnen"
"시설";"die Ausstattung";;"wohnen"
"부동산";"die Immobilien";;"geld";"stadt";"wohnen"
"줄";"die Schnur";;"wohnen"
"끈";"der Faden / die Schnur";"Auch Schnürsenkel";"kleidung";"wohnen"
"애완동물";"das Haustier";;"tier";"wohnen"
"복도";"der Flur";;"wohnen"
"환풍기";"die Lüftung";;"wohnen"
"다리다";"bügeln";;"kleidung";"wohnen"
"생활용품";"die Drogerieartikel";;"wohnen"
"가구";"die Möbel";;"wohnen"
"집이 넓다";"das Haus ist geräumig";;"wohnen"
"솜";"die Watte";;"wohnen"
"스위치";"der Schalter (Switch)";;"technik";"wohnen"
"집안일";"die Hausarbeit";;"wohnen"
"분위기";"die Atmosphäre";;"ausgehen";"wohnen"
"선풍기";"der Ventilator";;"wohnen"
"편이";"der Komfort";;"leben";"wohnen"
"찜찔방";"die Sauna";;"gesundheit";"sport";"wohnen"
"회전문";"die Drehtür";;"stadt";"wohnen"
"정문";"das Tor";;"wohnen"
"잠그다";"zuschliessen";;"wohnen"
"바구니";"der Korb";;"wohnen"
"방문";"die Zimmertür";;"wohnen"
"벽";"die Wand";;"wohnen"
"버리다";"wegwerfen";;"aktivität";"wohnen"
"초대하다";"einladen";;"sozial";"wohnen"
"댁";"das Haus (honorativ)";;"honorativ";"wohnen"
"세탁기";"die Waschmaschine";;"wohnen"
"상자";"die Kiste";;"wohnen"
"서랍";"die Schublade";;"wohnen"
