"백년지대계";"die Jahrhunderaufgabe";;"gesellschaft";"redewendung";"zeit"
"왕년";"früher / in den alten Zeiten";"Wörtlich „in den königlichen Jahren“.";"zeit"
"철야";"ganze Nacht / nacht-";"z.B. 철야 근무 = Nachtschicht";"arbeit";"zeit"
"평상시";"normale Zeiten / Friedenszeit";;"zeit"
"밤새도록";"die ganze Nacht lang";;"zeit"
"순식간";"unmittelbar / ganz schnell";;"zeit"
"달력";"der Kalender";;"zeit"
"시기";"der Zeitpunkt / die Periode";"Bestimmter Moment oder bestimmte Phase in der Zeit";"geschichte";"zeit"
"이틀에 한 번";"einmal alle zwei Tage";;"zeit"
"대기하다";"bereit stehen / warten";"Umganssprachlich auch 대기 타다";"zeit"
"대기";"die Bereitschaft  / das Warten";;"abstrakt";"zeit"
"초";"Anfang";"z.B. 이 달 초에";"zeit"
"요새";"in letzter Zeit";;"zeit"
"기하다";"(Zeit) festlegen";;"zeit"
"오랜만에";"lange her";;"zeit"
"저번에";"vor einiger Zeit / neulich";;"zeit"
"지난";"vergangen / alt";;"grammatik";"zeit"
"...(으)ㄹ 때마다";"jedes mal, wenn...";;"grammatik";"zeit"
"영원";"die Ewigkeit";;"zeit"
"미처";"bis jetzt";"Wie englisch „yet“";"zeit"
"아무 때도";"zu keiner Zeit / nie";"KGiG 2/226";"adverb";"zeit"
"아무 때나";"jederzeit";"KGiG 2/226";"adverb";"zeit"
"일정한";"regelmässig";;"zeit"
"수시로";"häufig / gelegentlich";;"adverb";"zeit"
"회상";"die Erinnerung";;"zeit"
"밤을 새우다";"die Nacht durchmachen";;"zeit"
"평소에";"üblicherweise / immer";;"zeit"
"마침";"genau zur richtigen Zeit";;"zeit"
"나흘";"vier Tage";;"zeit"
"...는데 ... 걸리다 / 들다";"... dauern / kosten ... zu machen";"Für Geld und Zeit. Nur nach Verben
zB:
한국에 가는 데 열 시간 걸렸어요.
한국에 가는 200만 원 들었어요.";"geld";"grammatik";"zeit"
"가다가";"gelegentlich";;"zeit"
"그새";"jetzt gerade";;"zeit"
"이맘때";"zu dieser Zeit (des Jahres)";;"zeit"
"당장";"momentan";;"zeit"
"오래전";"vor langer Zeit";;"zeit"
"주간";"wöchentlich";;"zeit"
"근무 시간";"die Arbeitszeit";;"arbeit";"zeit"
"야근";"die Nachtschicht";;"arbeit";"zeit"
"당시";"damals";;"zeit"
"일정";"der Terminplan / die Agenda";;"zeit"
"드문";"selten";;"adverb";"zeit"
"시대";"das Zeitalter";;"zeit"
"제시간";"der vereinbarte Zeitpunkt";;"zeit"
"진부하다";"überholt sein";;"kultur";"zeit"
"오늘 따라";"heute plötzlich";;"modal";"zeit"
"꼬박";"volle (Tage / Stunden / Jahre)";;"zeit"
"소급";"rückwirkend";;"zeit"
"장래";"die Zukunft";;"zeit"
"참을상";"die Geduld";;"charakter";"zeit"
"인내";"die Geduld";;"charakter";"zeit"
"중세";"das Mittelalter";;"geschichte";"zeit"
"예전";"früher";;"zeit"
"소대";"die Zeiten / Ära";;"zeit"
"후반";"die zweite Hälfte";;"zeit"
"자꾸";"dauernd / intensiv";;"adverb";"zeit"
"모레";"übermorgen";;"zeit"
"양력";"der Gregorianische Kalender";;"zeit"
"음력";"der Mondkalender";;"zeit"
"연말";"das Jahresende";;"zeit"
"늦추다";"verzögern";"Kausativ von 늦다";"kausativ";"zeit"
"시간을 당기다";"Termin vorziehen";;"zeit"
"시간을 미루다";"Termin verschieben";;"zeit"
"평일";"der Werktag";;"arbeit";"zeit"
"기념일";"der Jahrestag";;"zeit"
"밤사이";"die Nachtzeit";;"zeit"
"시각";"die Uhrzeit";;"zeit"
"당분간";"für einige Zeit";;"zeit"
"조만간";"früher oder später";;"adverb";"zeit"
"지금껏";"bis jetzt";;"adverb";"zeit"
"앞두다";"kurz bevorstehen";;"zeit"
"늘";"immer";;"adverb";"zeit"
"설날";"Neujahr";;"feiertag";"zeit"
"내내";"dauernd";;"zeit"
"기간";"der Zeitraum";;"zeit"
"꾸준히";"stetig";;"adverb";"zeit"
"꾸준하다";"stetig / beharrlich sein";;"charakter";"zeit"
"이정";"die Distanz";;"abstrakt";"zeit"
"모임을 가지다";"ein Treffen haben";;"ausgehen";"zeit"
"늘 똑같이";"immer gleich";;"basis satz";"zeit"
"일상생활";"das tägliche Leben";;"zeit"
"...(으)ㄴ 지 ... 되다 / 넘다";"...seitdem ... vergangen";"zB:
한국에 온 지 2년이 되었어요.
KGiG 1/157";"grammatik";"zeit"
"엊그제 같다";"wie gestern vorkommen";;"zeit"
"엊그제";"vorgestern";;"zeit"
"오래된";"alt / gealtert (Gegenstand)";"z.B.
오래된 포도주
오래된 집";"grammatik";"zeit"
"오래 되다";"lange her sein";;"basis satz";"zeit"
"얼마 안 되다";"nicht lage her sein";;"basis satz";"zeit"
"다다음";"übernächste";;"zeit"
"사계절";"die vier Jahreszeiten";;"wetter";"zeit"
"불규칙적";"unregelmässig";;"zeit"
"규칙적";"regelmässig";;"zeit"
"이틀";"zwei Tage";;"zeit";"zähler"
"하루";"ein Tag";;"zeit";"zähler"
"열흘";"zehn Tage";;"zeit"
