"귀엽다";"süss / niedlich sein";;"adjektiv";"basis"
"위태롭다";"gefährlich sein";;"adjektiv";"basis";"leben"
"축축하다";"nass sein";;"adjektiv";"basis"
"촉촉하다";"feucht sein";;"adjektiv";"basis"
"곱다";"hübsch sein";;"adjektiv";"basis"
"차분하다";"ruhig sein";;"adjektiv";"basis";"charakter"
"부드럽다";"weich sein";;"adjektiv";"basis"
"간편하다";"leicht benutzbar sein";;"adjektiv";"basis"
"잠기다";"verschlossen sein";;"adjektiv";"basis"
"꽉 끼다";"eng sein";;"adjektiv";"basis";"kleidung"
"똑같다";"identisch sein";;"adjektiv";"basis"
"열려 있다";"offen sein";;"adjektiv";"basis"
"닫혀 있다";"geschlossen sein";;"adjektiv";"basis"
"딱딱하다";"hart sein";;"adjektiv";"basis";"material"
"조용하다";"ruhig sein";;"adjektiv";"basis"
"강하다";"stark sein";;"adjektiv";"basis"
"편리하다";"bequem sein";;"adjektiv";"basis"
"가볍다";"leicht sein";"Geringes Gewicht; Auch locker / entspannt";"adjektiv";"basis"
"무겁다";"schwer sein";"hohes Gewicht";"adjektiv";"basis"
"같은";"gleich";;"adjektiv";"basis"
"쉽다";"einfach sein";;"adjektiv";"basis";"lernen"
"시끄럽다";"laut sein";;"adjektiv";"basis"
"유명하다";"berühmt sein";;"adjektiv";"basis"
"다르다";"anders sein";;"adjektiv";"basis"
"비슷하다";"ähnlich sein";;"adjektiv";"basis"
"같다";"gleich sein";;"adjektiv";"basis"
"멋있다";"chic / gut aussehen";;"adjektiv";"basis";"kleidung"
"아름답다";"schön sein";;"adjektiv";"basis"
