"근데 / 그런데";"aber / dennoch / allerdings";;"adverb";"basis"
"갑자기";"plötzlich";;"adverb";"basis"
"단지";"nur";;"adverb";"basis";"modal"
"다";"alles";;"adverb";"basis"
"스스로";"sich selbst / selbstständig";;"adverb";"basis"
"그래도";"Trotzdem / Dennoch";"Als Beginn eines neuen Satzes";"adverb";"basis";"konjunktion"
"그러면";"Dann / In dem Fall";"Als Beginn eines neuen Satzes";"adverb";"basis";"konjunktion"
"그러니까";"Daher / Deshalb";"Als Beginn eines neuen Satzes";"adverb";"basis";"konjunktion"
"그리고";"Und";"Als Beginn eines neuen Satzes";"adverb";"basis";"konjunktion"
"최대";"grösste";;"adverb";"basis"
"맨";"ausschliesslich / nur";;"adverb";"basis"
"딴";"andere / anders";"Kurzform zu 다른";"adverb";"basis"
"한결";"deutlich";;"adverb";"basis"
"하도";"überaus";;"adverb";"basis"
"아무데";"irgendwo";;"adverb";"basis"
"이어";"nachfolgend";;"adverb";"basis"
"더군다나";"ausserdem";;"adverb";"basis"
"솔직히";"direkt / ehrlich";;"adverb";"basis"
"주요";"haupt- / wichtig";;"adverb";"basis"
"단순히";"simpel";;"adverb";"basis"
"제대로";"richtig / ordentlich";;"adverb";"basis"
"엄청";"sehr";;"adverb";"basis"
"만약 / 만약에";"angenommen, dass / falls";"Betont eine Bedingung. I.d.R. kombiniert mit …면 oder …(느)ㄴ다면
z.B. 만약에 한국에 가면 부산에 가고 싶어요.";"adverb";"basis"
"제법";"ziemlich";;"adverb";"basis"
"가다가";"auf dem Weg / auf halbem Weg";;"adverb";"basis"
"오직";"einzig / nur";;"adverb";"basis"
"역시";"also / auch / wie erwartet";"z.B. 역시 그는 최고의 선수야.
     역시 그 영화는 재미있었어.";"adverb";"basis"
"급히";"eilig";;"adverb";"basis"
"일부러";"absichtlich";;"adverb";"basis";"modal"
"아무래도";"auf jeden Fall";;"adverb";"basis"
"절대";"absolut";;"adverb";"basis"
"달리";"anders";;"adverb";"basis"
"거의";"fast";"z.B.
거의 저녁마다";"adverb";"basis"
"딱히";"(nicht) vollständig";;"adverb";"basis"
"아무";"irgend";;"adverb";"basis"
"금새";"sofort";;"adverb";"basis"
"진짜";"wirklich";;"adverb";"basis"
"더 이상";"nicht mehr";;"adverb";"basis"
"대박";"krass";;"adverb";"basis";"gefühl"
"매우";"äusserst / extrem";;"adverb";"basis"
"무척";"äusserst / extrem";;"adverb";"basis"
"반드시";"sicherlich / bestimmt";;"adverb";"basis"
"아무튼";"auf jedem fall";;"adverb";"basis"
"굉장히";"äusserst (viel)";;"adverb";"basis"
"혹시";"vielleicht (Frage)";;"adverb";"basis";"modal"
"최상";"beste";;"adverb";"basis"
"특히";"besonders";;"adverb";"basis"
"충분히";"genug";;"adverb";"basis"
"교대로";"abwechselnd";;"adverb";"basis"
"주로";"hauptsächlich";;"adverb";"basis"
"...에도";"Obwohl ...";;"adverb";"basis";"grammatik"
"아마도";"vielleicht";;"adverb";"basis";"modal"
"우연히";"zufällig";;"adverb";"basis"
"대신";"anstatt";;"adverb";"basis"
"사실은";"tatsächlich";;"adverb";"basis"
"아마";"vielleicht";;"adverb";"basis";"modal"
"제일";"meiste";;"adverb";"basis";"menge"
"마지막";"letzte";;"adverb";"basis"
"꼭";"sicherlich / bestimmt";"Auch 꾹";"adverb";"basis"
"그래서";"Deshalb";"Als Beginn eines neuen Satzes";"adverb";"basis"
"정말";"wirklich";;"adverb";"basis"
"그럼";"also / somit";;"adverb";"basis"
"별로";"(nicht) besonders";;"adverb";"basis"
"그런데";"aber dann / allerdings";"Etwa wie engl. “anyway”
Als Beginn eines neuen Satzes";"adverb";"basis";"konjunktion"
"같이";"zusammen";"Gesprochen “가치”";"adverb";"basis"
"그렇지만";"Aber / Jedoch";"Als Beginn eines neuen Satzes";"adverb";"basis"
"조금";"bisschen";;"adverb";"basis"
"당연이없지";"natürlich nicht";;"adverb";"basis"
"당연하지";"natürlich";;"adverb";"basis"
"다음";"nächste";;"adverb";"basis"
"다른";"andere";;"adverb";"basis"
