"계산하다";"bezahlen / Rechnung begleichen";"Oft für Bezahalen im Restaurant oder Geschäft";"basis";"einkaufen";"geld"
"사치";"der Luxus";;"basis";"einkaufen";"leben"
"돈을 쓰다";"Geld ausgeben";;"basis";"einkaufen";"geld"
"무상";"kostenlos";;"basis";"einkaufen";"geld"
"공짜";"kostenlos";;"basis";"einkaufen";"geld"
"결제하다";"Zahlung durchführen / bezahlen";"Eher für digitale Zahlungen oder Zahlungen mit Karte";"basis";"einkaufen";"geld"
"제품";"das Produkt";;"basis";"einkaufen";"wirtschaft"
"저렴하다";"günstig sein";;"basis";"einkaufen"
"포장하다";"einpacken";;"basis";"einkaufen"
"교환하다";"umtauschen (zurückgeben)";;"basis";"einkaufen"
"환불하다";"umtauschen (Geld zurück)";;"basis";"einkaufen"
"신용카드";"die Kreditkarte";;"basis";"einkaufen";"geld"
"품질";"die Qualität";;"basis";"einkaufen"
"구입하다";"kaufen";;"basis";"einkaufen"
"무료";"kostenlos";;"basis";"einkaufen";"geld"
"값";"der Preis";;"basis";"einkaufen";"geld"
"옷가게";"das Bekleidungsgeschäft";;"basis";"einkaufen";"stadt"
"깎다";"(Preis) reduzieren";;"basis";"einkaufen"
"소개";"die Empfehlung / Vorstellung";;"basis";"einkaufen";"sozial"
"싸다";"billig sein";;"basis";"einkaufen";"geld"
"비싸다";"teuer sein";;"basis";"einkaufen";"geld"
