"...지요?";"..., oder / gell?";"Fragt nach einer Bestätigung für eine Aussage.
Auch als 았지/었지 für Vergangenheit und (으)ㄹ지 für Zukunft.
z.B.
내일 만날지요?";"basis";"endung";"grammatik"
"...라고 해요";"...<direkte Rede>";"zB. 톰은 “늦게 올거예요.” 라고 했어요.
Es kann auch ...하고 해요 vewendet werden, wenn auch Intonation und Ausdruck vermittelt werden sollen.
KGiG 1/316";"basis";"endung";"grammatik"
"...(으)ㄹ 거예요";"...werden (Futur)";"Entspricht Futur im Deutschen. Kann modal eine Vermutung ausdrücken.
zB: 좋을 거예요.";"basis";"endung";"grammatik"
"...겠어요";"Werde / beabsichtige zu ...";"zB: 아침마다 운동하겠어요.
Auch um Sätze weicher / höflicher zu machen.
zb: 잘 모르겠어요.";"basis";"endung";"grammatik"
"...아/어 줄까요?";"...<Angebot etwas zu tun>";"Wie “soll ich…?(für dich machen)”
z.b.  제가 들어  줄까요?
Honorativ mit 드리다.";"basis";"endung";"grammatik"
"...아/어 주세요";"...bitte";"z.B. 문 좀 닫아 주세요.
Honorativ: …아/어 드리세요.";"basis";"endung";"grammatik";"honorativ"
"...용";"...Nutzung";;"basis";"endung"
"...며";"...und";;"basis";"endung";"grammatik"
"...면 되다";"... möglich sein / erlaubt sein";"Etwas ist erlaubt oder möglich.
z.B.
내일 만나면 돼요.";"basis";"endung";"grammatik"
"...려고 하다";"Beabsichtigen zu ...";"Beschreibt einen Plan oder eine Absicht etwas zu tun.
Nur nach Verben.
z.B. 여름에 훈국에 가려고 해요.
KGiG 1/243";"basis";"endung";"grammatik"
"...기로 했어요";"...zu tun beschlossen haben";"Im Sinne von “fest vorgenommen” oder “versprochen”
zB: 우리는 10월에 결혼하기로 했어요.";"basis";"endung";"grammatik"
"...(으)ㄹ까 하다";"...überlegen / planen zu tun";"Drückt eine vage Absicht aus. Weniger sicher als ...려고 하다
zB 다음 주부터 운동할까 해요.
KGiG 2/114";"basis";"endung";"grammatik"
"...다고 해요";"...<indirekte Rede>";"Nach Verben …(느)ㄴ 다고 해요
Nach Adjektiven …다고 해요
Vergangenheit …았/었다고 해요
z.B.
언제 온다고 해요.
KGiG 1/319";"basis";"endung";"grammatik"
"...라고 해요";"...<indirekte Rede imperativ>";"z.B.
지금 오라고 해요.";"basis";"endung";"grammatik"
"...기";"...<Nomen Endung>";"Macht aus Verben Nomen.
z.B.
운동하기 좋아해요.";"basis";"endung";"grammatik"
"...게";"...<adverb endung>";"Macht aus einem Verb ein Adjektiv.
z.B.
편하게 살고 있어요.";"basis";"endung";"grammatik"
"...네요";"...wirklich / <überrascht>";"Drückt Überraschung oder Erstaunen aus.
zB. 독일어를 정말 잘해요!
Eher informell.";"basis";"endung";"grammatik"
