"간장";"die Sojasosse";;"basis";"essen"
"배가 부르다";"satt sein";"Oft einfach 배불러요";"basis";"essen"
"삼계탕";"Koreanischer Hühnereintopf";;"basis";"essen"
"불고기";"Bulgogi";"Süss-Mariniertes Rindfleisch";"basis";"essen"
"잡채";"Glasnudel-Salat";;"basis";"essen"
"떡볶이";"Reiskuchen in scharfer Sauce";;"basis";"essen"
"된장찌개";"scharfer Gemüseintopf mit Tofu";;"basis";"essen"
"삼겹살";"gegrillter Schweinebauch";"Wörtlich „Drei-Schichten-Fleisch“ wegen der Fettschicht";"basis";"essen"
"김치";"Kimchi";"Scharfer, fermentierter Chinakohl";"basis";"essen"
"밀가루";"das (Weizen)-Mehl";;"basis";"essen"
"꿀";"der Honig";;"basis";"essen"
"마르다";"trocken sein";;"basis";"essen";"wetter"
"갈증";"der Durst";;"basis";"essen"
"감미";"die Süsse";;"basis";"essen"
"상추";"der Blattsalat";;"basis";"essen"
"무알콜";"alkoholfrei";;"ausgehen";"basis";"essen"
"견과";"die Nuss";"Wörtlich: 견=hart 과=Frucht";"basis";"essen"
"식초";"der Essig";;"basis";"essen"
"목마르다";"durstig sein";;"basis";"essen";"gefühl"
"땅콩";"die Erdnuss";;"basis";"essen"
"건배";"prost";;"basis";"essen"
"취하다";"sich betrinken";;"ausgehen";"basis";"essen"
"기름";"das Öl";;"basis";"essen"
"특산품";"die lokale Spezialität";;"basis";"essen";"reisen"
"팥";"die rote Bohne";;"basis";"essen"
"후식";"das Désert";;"basis";"essen"
"미역";"das Seegras";;"basis";"essen"
"간을 맞추다";"abschmecken";;"basis";"essen";"kochen"
"배추";"der Chinakohl";;"basis";"essen"
"고구마";"die Süsskartoffel";;"basis";"essen"
"버섯";"der Pilz";;"basis";"essen"
"고기";"das Fleisch";;"basis";"essen"
"게";"die Krabbe";;"basis";"essen";"tier"
"튀김";"das Frittierte";;"basis";"essen"
"감자";"die Kartoffel";;"basis";"essen"
"양파";"die Zwiebel";;"basis";"essen"
"해산물";"die Meeresfrüchte";;"basis";"essen"
"배탈";"die Bauchschmerzen";;"basis";"essen";"gesundheit"
"그릇";"die Schüssel";;"basis";"essen";"kochen"
"젓가락";"die Essstäbchen";;"basis";"essen";"kochen"
"숟가락";"der Löffel";;"basis";"essen";"kochen"
"채소";"das Gemüse";;"basis";"essen";"kochen"
"떡";"der Reiskuchen";;"basis";"essen"
"간식";"der Snack";;"basis";"essen"
"당면";"die Glasnudeln";;"basis";"essen"
"식용유";"das Speiseöl";;"basis";"essen";"kochen"
"양념";"das Gewürz";;"basis";"essen";"kochen"
"썰다";"hacken / zerlegen / schneiden";"Vor allem beim Kochen";"basis";"essen";"kochen"
"싱겁다";"fad sein";;"basis";"essen"
"새우";"der Shrimp";;"basis";"essen";"tier"
"참치";"der Thunfisch";;"basis";"essen";"tier"
"애호박";"die Zucchini";;"basis";"essen"
"달다";"süss sein";;"basis";"essen"
"음료수";"das Getränk";;"basis";"essen"
"소풍";"das Picknick";;"ausgehen";"basis";"essen"
"당근";"die Karotte";;"basis";"essen"
"무";"der Rettich";;"basis";"essen"
"깻잎";"die Japanische Minze";;"basis";"essen";"pflanze"
"오징어";"der Tintenfisch";;"basis";"essen"
"사탕";"die Bonbons";;"basis";"essen"
"침기름";"das Sesamöl";;"basis";"essen"
"재료";"die Zutat";;"basis";"essen"
"야채";"das Gemüse";;"basis";"essen"
"드시다";"essen / trinken (honorativ)";;"ausgehen";"basis";"essen";"honorativ"
"상하다";"beschädigen / verderben";;"basis";"essen"
"물다";"beissen";;"basis";"essen"
"과일";"das Obst";;"basis";"essen"
"술";"der Alkohol";;"ausgehen";"basis";"essen"
"맵다";"scharf schmecken";;"basis";"essen"
"쓰다";"bitter sein";;"basis";"essen"
"시다";"sauer sein";;"basis";"essen"
"짜다";"salzig sein";;"basis";"essen"
"먹을 것";"etwas zu Essen";;"basis";"essen"
"닭";"das Huhn";;"basis";"essen";"tier"
"반찬";"die Beilagen";;"basis";"essen"
"점심";"das Mittagessen";;"basis";"essen"
"배고프다";"hungrig sein";;"basis";"essen"
"마시다";"trinken";;"basis";"essen"
"먹다";"essen";;"aktivität";"basis";"essen"
"맛";"der Geschmack";;"basis";"essen"
"맛있다";"gut schmecken";;"basis";"essen"
"식당";"das Restaurant";;"ausgehen";"basis";"essen"
"오이";"die Gurke";;"basis";"essen"
"차";"der Tee";;"basis";"essen"
"담배";"die Zigarette";;"basis";"essen"
"병";"die Flasche";;"basis";"essen";"kochen"
"빵";"das Brot";;"basis";"essen"
"우유";"die Milch";;"basis";"essen"
"물";"das Wasser";;"basis";"essen"
"사과";"der Apfel";;"basis";"essen"
