"아내";"die Ehefrau";"honorativ: 부인 = Gattin";"basis";"familie"
"삼촌";"der Onkel";;"basis";"familie"
"어른";"die Älteren";;"basis";"familie";"sozial"
"아기";"das Baby";;"basis";"familie";"kinder"
"친하다";"(mit jmd.) eng sein";;"basis";"familie";"sozial"
"결혼하다";"heiraten";;"basis";"familie"
"부모님";"die Eltern";;"basis";"familie"
"남편";"der Ehemann";;"basis";"familie";"liebe"
"조카";"die Nichte / der Neffe";;"basis";"familie"
"동생";"kleines Geschwister";;"basis";"familie"
"오빠";"grösserer Bruder von einem Mädchen";;"basis";"familie"
"형";"grosser Bruder von einem Jungen";;"basis";"familie"
"누나";"grössere Schwester von einem Jungen";;"basis";"familie"
"언니";"grössere Schwester von einem Mädchen";;"basis";"familie"
"엄마";"die Mama";;"basis";"familie"
"어머니";"die Mutter";;"basis";"familie"
"아빠";"der Papa";;"basis";"familie"
"아버지";"der Vater";;"basis";"familie"
"가족";"die Familie";;"basis";"familie"
