"다채로운";"bunt";;"basis";"farbe"
"노란색";"gelb";;"basis";"farbe"
"초록색";"grün";;"basis";"farbe"
"빨간색";"rot";;"basis";"farbe"
"검정색";"schwarz";;"basis";"farbe"
"밝다";"hell sein";"Für Helligkeit aber auch für Charakter als schlau oder fröhlich";"basis";"farbe"
"색깔";"die Farbe";;"basis";"farbe"
"무늬";"das Muster";;"basis";"farbe";"kleidung"
"섞다";"mischen";;"basis";"farbe";"kochen"
"회색";"grau";;"basis";"farbe"
"보라색";"violet";;"basis";"farbe"
"녹색";"grün";;"basis";"farbe"
"갈색";"braun";;"basis";"farbe"
"남색";"dunkelblau";;"basis";"farbe"
"주황색";"orange";;"basis";"farbe"
"분흥색";"pink";;"basis";"farbe"
"금색";"gold-farbe";;"basis";"farbe"
"은색";"die Silber-farbe";;"basis";"farbe"
"밤색";"braun";;"basis";"farbe"
"흰색";"weiss";;"basis";"farbe"
"파란색";"blau";"Verb: 파랗다 → 파래 = blau sein";"basis";"farbe"
"노란색";"gelb";"Verb: 노랗다 → 노래 = gelb sein";"basis";"farbe"
"까만색";"schwarz";"Verb: 까맣다 → 까매 = schwarz sein";"basis";"farbe"
"하양색";"weiss";"Verb: 하얗다 → 하얘 = weiss sein";"basis";"farbe"
"빨간다";"rot";"Verb: 빨갛다 → 빨개 = rot sein";"basis";"farbe"
"색";"die Farbe";;"basis";"farbe"
