"두렵다";"sich fürchten / Angst haben";;"basis";"gefühl"
"부럽다";"beneiden";;"basis";"gefühl"
"미워하다";"hassen";;"basis";"gefühl"
"웃기다";"zum Lachen bringen";;"basis";"gefühl";"kausativ"
"웃다";"lachen";;"basis";"gefühl"
"울다";"weinen";;"basis";"gefühl"
"편하다";"bequem sein";;"basis";"gefühl"
"안전하다";"sicher sein";;"basis";"gefühl";"gesellschaft"
"미소";"das Lächeln";;"basis";"gefühl"
"찝찝하다";"ein schlechtes Gewissen haben";;"basis";"gefühl"
"두려움";"die Angst";;"basis";"gefühl"
"기대감";"die Erwartung";;"basis";"gefühl"
"달래다";"beruhigen";;"basis";"gefühl";"kinder"
"근사하다";"wundervoll sein";;"basis";"gefühl"
"편안히";"bequem";;"basis";"gefühl"
"...는 기분이 들다";"... Gefühl haben";;"basis";"gefühl"
"무섭다";"Angst haben";;"basis";"gefühl"
"서럽다";"depremierend sein";;"basis";"gefühl"
"기대하다";"sich auf etw freuen";;"basis";"gefühl"
"...을 두려워하다";"... fürchten";;"basis";"gefühl"
"정열적이다";"leidenschaftlich sein";;"basis";"gefühl"
"환상적이다";"fantastisch sein";;"basis";"gefühl"
"쾌변하다";"entspannt sein, nach dem aufs Klo gehen";;"basis";"gefühl"
"막막하다";"verlassen sein";;"basis";"gefühl"
"흥겹다";"fröhlich sein";;"basis";"gefühl"
"초조하다";"nervös sein";;"basis";"gefühl"
"겁나다";"Angst haben";;"basis";"gefühl"
"참다";"ertragen / sich beherrschen";;"basis";"gefühl"
"희망";"die Hoffnung";;"basis";"gefühl"
"낭만적이다";"romantisch sein";;"basis";"gefühl"
"답답하다";"erdrückend sein";;"basis";"gefühl"
"견디다";"ertragen";;"basis";"gefühl"
"즐겨 하다";"gerne tun";;"basis";"gefühl"
"인상적이다";"beeindruckend sein";;"basis";"gefühl"
"유쾌하다";"fröhlich sein";;"basis";"gefühl"
"긴장";"die Anspannung";;"basis";"gefühl"
"놀라다";"überrascht sein";;"basis";"gefühl"
"궁금하다";"neugierig sein";;"basis";"gefühl"
"신기하다";"wundervoll sein";;"basis";"gefühl"
"긴장하다";"angespannt sein";;"basis";"gefühl"
"신나다";"begeistert sein";;"basis";"gefühl"
"따분하다";"langweilig sein";;"basis";"gefühl";"kultur";"leben"
"다행";"das Glück";;"basis";"gefühl"
"지루하다";"sich langweilen / langweilig sein";;"basis";"gefühl"
"추억하다";"bewegende Erinnerungen haben";;"basis";"gefühl"
"속상하다";"frustrierend sein";;"basis";"gefühl"
"운";"das Glück";;"basis";"gefühl"
"바라다";"hoffen";;"basis";"gefühl"
"멋지다";"cool sein";;"basis";"gefühl"
"깜짝 놀라다";"erschrecken";;"basis";"gefühl"
"약하다";"schwach sein";;"basis";"gefühl"
"관심";"das Interesse";;"basis";"gefühl"
"즐겁다";"fröhlich sein";;"basis";"gefühl"
"마음에 들다";"mögen";;"basis";"gefühl"
"재미있다";"Spass machen";;"basis";"gefühl"
"꿈";"der Traum";;"basis";"gefühl";"leben"
"슬프다";"traurig sein";;"basis";"gefühl"
"좋아하다";"mögen";;"basis";"gefühl"
"행복하다";"glücklich sein";;"basis";"gefühl"
