"주시다";"geben (honorativ)";"Eine höher gestellte Person an eine niedrigere.
Andersherum 드리다";"basis";"honorativ"
"...게서는";"...<thema> (honorativ)";"wie …는";"basis";"honorativ"
"모셔가다";"jmd. mitnehmen (honorativ)";;"basis";"honorativ"
"말씀하시다";"sprechen (honorativ)";;"basis";"honorativ"
"여쭙다";"fragen (honorativ)";"Oft: 여쭈어 보다";"basis";"honorativ"
"생신";"der Geburtstag (honorativ)";;"basis";"honorativ"
"...드림";"...Grüsse (höflich im Brief)";"Nach dem eigenen Namen.
Halb-Formell";"basis";"brief";"honorativ"
"...올림";"...Grüsse (honorativ im Brief)";"Nach dem eigenen Namen.
Formell und Höflich";"basis";"brief";"honorativ"
"뵙다";"treffen (honorativ)";"뵈요";"basis";"honorativ"
"계시다";"sein / existieren (honorativ)";;"basis";"honorativ"
"드리다";"geben (honorativ)";"An eine höher gestellte Person.
Andersherum: 주시다";"basis";"honorativ"
"주무시다";"schlafen (honorativ)";;"basis";"honorativ"
"...께";"...an (honorativ)";"Formell: …에게
Informell: …한테";"basis";"brief";"honorativ"
"죄송하다";"leid tun (Entschuldigung)";"죄송합니다 = Entschuldigen Sie
Formeller als 미안하다";"basis";"honorativ";"kommunikation"
"분";"die Person (honorativ)";;"basis";"honorativ"
