"요리하다";"kochen";;"basis";"kochen"
"도마";"das Schneidebrett";;"basis";"kochen"
"칼";"das Messer";;"basis";"kochen"
"냄비";"der Topf";;"basis";"kochen"
"데우다";"erhitzen / aufwärmen";"Auch 뎁히다
z.B. Essen
우유를 데우다";"basis";"kochen"
"뚜껑";"der Deckel";;"basis";"kochen"
"찌다";"dampfen / dämpfen";"만두를 찌다";"basis";"kochen"
"튀기다";"frittieren";;"basis";"kochen"
"깎다";"schälen";;"basis";"kochen"
"부치다";"braten";"Wenn man etwas in der Pfanne brät. Insbesondere Eier oder Pfannkuchen.";"basis";"kochen"
"볶다";"(an)-braten";"Wenn man etwas bei starker Hitze und unter Rühren anbrät (Gemüse, Reis, etc)
채소를 볶다 = Gemüse anbraten";"basis";"kochen"
"삶다";"(in Wasser) kochen";"달걀을 삶다 = Eier kochen";"basis";"kochen"
"끓이다";"zum kochen bringen";;"basis";"kausativ";"kochen"
"냉장고";"der Kühlschrank";;"basis";"kochen"
"부엌";"die Küche";;"basis";"kochen"
