"미안하다";"leid tun (Entschuldigung)";"미안해요 = Es tut mir leid";"basis";"kommunikation"
"건의하다";"vorschlagen";;"basis";"kommunikation"
"다투다";"streiten";;"basis";"kommunikation";"sozial"
"거짓말하다";"lügen";;"basis";"kommunikation"
"달라다";"bitten";;"basis";"kommunikation"
"의논하다";"besprechen";;"basis";"kommunikation"
"논쟁";"der Streit";;"basis";"gesellschaft";"kommunikation"
"우편";"die Post";;"basis";"kommunikation"
"통화하다";"telefonieren";;"basis";"kommunikation"
"주의";"der Rat / die Warnung";;"basis";"kommunikation";"sozial"
"문자";"die Nachricht";;"basis";"kommunikation"
"지나치다";"übermässig sein";"z.B. 지나친 음주
Aber auch, wenn man eine Haltestelle verpasst: 내려야 할 곳을 지나치다";"basis";"kommunikation";"modal"
"내용";"der Inhalt";;"basis";"kommunikation";"kultur"
"알리다";"informieren";;"basis";"kausativ";"kommunikation"
"대화";"der Dialog";;"basis";"kommunikation"
"부르다";"rufen";;"basis";"kommunikation"
"보내다";"senden";;"basis";"kommunikation"
"편지";"der Brief";;"basis";"kommunikation"
"대답하다";"antworten";;"basis";"kommunikation"
"말하다";"sprechen";;"basis";"kommunikation"
"반갑다";"erfreut sein jmd. kennenzulernen";;"basis";"kommunikation";"sozial"
