"추석";"Koreanisches Erntedank-Fest";;"basis";"kultur"
"소리 줄이다";"leiser stellen";;"basis";"kultur"
"예절을 지키다";"die Ettiquette befolgen";;"basis";"kultur";"sozial"
"우등";"die Auszeichnung";;"basis";"kultur"
"만화";"das Comic / der Cartoon";;"basis";"kultur"
"글자";"der Buchstabe";;"basis";"kultur";"sprache"
"즐기다";"geniessen / mögen";"Ähnlich wie englisch to enjoy";"basis";"kultur"
"건축";"die Architektur";;"basis";"kultur";"stadt"
"공연";"die Aufführung";;"basis";"kultur"
"사진";"das Photo";;"basis";"kultur";"technik"
"노래하다";"singen";;"basis";"kultur"
