"어깨";"die Schulter";;"basis";"körper"
"고개";"der Kopf";;"basis";"körper"
"다리";"das Bein";;"basis";"körper"
"배";"der Bauch";;"basis";"körper"
"발";"der Fuss";;"basis";"körper"
"손";"die Hand";;"basis";"körper"
"팔";"der Arm";;"basis";"körper"
"머리";"der Kopf";"Auch Haare";"basis";"körper"
"팔꿈치";"der Ellenbogen";;"basis";"körper"
"피";"das Blut";;"basis";"körper"
"이를 닦다";"Zähne putzen";;"basis";"körper"
"졸리다";"schläfrig sein";;"basis";"gefühl";"körper"
"날씬하다";"schlank sein";;"basis";"körper"
"통통하다";"dick sein";;"basis";"körper"
"숨쉬다";"atmen";;"basis";"körper"
"감다";"sich die Haare waschen";;"basis";"körper"
"씻다";"sich waschen";;"basis";"körper"
"위";"der Magen";;"basis";"körper"
"얼굴";"das Gesicht";;"basis";"körper"
"피부";"die Haut";;"basis";"körper"
"지치다";"erschöpft sein";;"arbeit";"basis";"gefühl";"körper"
"등";"der obere Rücken";;"basis";"körper"
"허리";"der untere Rücken";;"basis";"körper"
"표정";"der Gesichtsausdruck";;"basis";"kommunikation";"körper"
"살찌다";"fett werden";;"basis";"gesundheit";"körper"
"두통";"die Kopfschmerzen";"두통이 생기다 = Kopfschmerzen bekommen";"basis";"gesundheit";"körper"
"혀";"die Zunge";;"basis";"körper"
"무릎";"das Knie";;"basis";"körper"
"임신";"die Schwangerschaft";;"basis";"gesundheit";"kinder";"körper"
"오줌 싸다";"pinkeln";;"basis";"körper";"natur"
"근육";"die Muskeln";;"basis";"körper";"sport"
"비누";"die Seife";;"basis";"gesundheit";"körper"
"수염";"der Bart";;"basis";"körper"
"호흡하다";"atmen";;"basis";"körper"
"손가락";"der Finger";;"basis";"körper"
"땀이 나다";"schwitzen";;"basis";"körper"
"정신";"der Verstand";;"basis";"körper"
"뚱뚱하다";"fett sein";;"adjektiv";"basis";"körper"
"목욕하다";"baden";;"basis";"körper";"wohnen"
"토하다";"sich übergeben";;"basis";"gesundheit";"körper"
"다치다";"verletzen";;"basis";"gesundheit";"körper"
"날씨다";"dünn sein";;"basis";"körper";"sozial"
"모습";"das Aussehen";;"basis";"körper"
"콧물";"der Rotz";;"basis";"gesundheit";"körper"
"목";"der Hals";;"basis";"körper"
"붓다";"anschwellen";"z.B. 목이 붓다";"basis";"gesundheit";"körper"
"피곤하다";"müde sein";;"basis";"gefühl";"körper"
