"깜박하다";"vergessen";"Oft wird 깜빡하다 verwendet";"basis";"lernen"
"맞다";"richtig sein / getroffen sein";;"basis";"lernen"
"상상";"die Vorstellung / Fantasie";;"basis";"lernen"
"통하다";"verstehen";;"basis";"lernen"
"주의하다";"aufmerksam sein";;"basis";"lernen";"schule"
"환상";"die Fantasie";;"basis";"lernen"
"잊다";"vergessen";;"basis";"lernen"
"소개하다";"(jmd / etw) vorstellen";;"basis";"lernen";"sozial"
"외우다";"auswendig lernen";"The best app for flash card learning is https://wokabulary.com";"basis";"lernen"
"어렵다";"schwierig sein";;"abstrakt";"basis";"lernen"
"배우다";"lernen";;"basis";"lernen";"schule"
