"낫다";"besser sein";"z.B. 이렇게 더 나아요.";"basis";"modal"
"엉망";"das Chaos";;"basis";"modal"
"웬만하다";"annehmbar sein";;"basis";"modal"
"멍하니";"abwesend / teilnahmslos";;"basis";"modal"
"양반이다";"gut / besser sein";;"basis";"modal"
"실수로";"versehentlich";;"basis";"modal"
"고소하다";"sich beschweren";;"basis";"modal"
"거만하다";"arrogant sein";;"basis";"modal"
"아깝다";"schade sein";;"basis";"modal"
"멍청하다";"idiotisch sein";;"basis";"modal"
"낡다";"veraltet sein";;"basis";"modal";"technik"
"억지 부리다";"auf etw. bestehen";;"basis";"modal"
"통쾌하다";"angenehm sein";;"basis";"modal"
"주장하다";"auf etw. bestehen";;"basis";"modal"
"별일";"etwas besonderes";;"basis";"modal"
"허락하다";"erlauben";;"basis";"modal"
"틀리다";"falsch sein";;"basis";"modal"
"특별하다";"besonders sein";;"basis";"modal"
"복잡하다";"kompliziert sein";;"basis";"modal"
"중요하다";"wichtig sein";;"basis";"modal"
"괜찮다";"OK sein";;"basis";"modal"
"나쁘다";"schlecht sein";;"basis";"modal"
"잘 못 하다";"nicht gut machen";;"basis";"modal"
"잘 하다";"gut machen";;"basis";"modal"
