"무궁화";"der Hibiscus";"Hibiscus syriacus
Nationalblume Koreas";"basis";"natur"
"비빔밥";"Bibimbap";"Koreanisches Nationalgericht. Reis mit Gemüse und Fleisch in einer Bowl.";"basis";"natur"
"화재";"das Feuer / der Brand";;"basis";"natur";"stadt"
"화산";"der Vulkan";;"basis";"natur"
"물가";"das Ufer";;"basis";"natur"
"환경";"die Umwelt";;"basis";"natur"
"관목";"der Busch";;"basis";"natur";"pflanze"
"풀";"das Gras";;"basis";"natur";"pflanze"
"어둑하다";"dunkel werden / dämmern";;"basis";"natur";"zeit"
"계고";"der Bach";;"basis";"natur"
"자연";"die Natur";;"basis";"natur"
"전망";"der Ausblick";;"basis";"natur"
"풍경";"die Scenerie / Landschaft";;"basis";"natur"
"그늘";"der Schatten";;"basis";"natur"
"사막";"die Wüste";;"basis";"natur"
"자연스럽다";"natürlich / naturbelassen sein";;"basis";"natur"
"나무";"der Baum";;"basis";"natur";"pflanze"
"정원";"der Garten";;"basis";"natur";"wohnen"
"돌";"der Stein";;"basis";"natur"
"해돋이";"der Sonnenaufgang";"Eher für die Beschreibung / Stimmung des Sonnenaufgangs. Für Zeitangabe 일출.";"basis";"natur"
"해넘이";"der Sonnenuntergang";"Eher für die Beschreibung / Stimmung des Sonnenaufgangs. Für Zeitangabe 일몰.";"basis";"natur"
"식물";"die Pflanze";;"basis";"natur";"pflanze"
"피다";"blühen";;"basis";"natur"
"강";"der Fluss";;"basis";"natur"
"호수";"der See";;"basis";"natur"
"동물";"das Tier";;"basis";"natur";"tier"
"젖다";"nass sein";;"adjektiv";"basis";"natur"
"꽃";"die Blume";;"basis";"natur";"pflanze"
"바다";"das Meer";;"basis";"natur";"reisen"
