"저것";"das dort";"Denonstrativpronomen für etwas entferntes";"basis";"richtung"
"그것";"das";"Denonstrativpronomen für etwas in mittlerer Entfernung";"basis";"richtung"
"이것";"dies";"Denonstrativpronomen für etwas nahes";"basis";"richtung"
"사이";"zwischen";;"basis";"richtung"
"중앙에";"in der Mitte";;"basis";"richtung"
"...측";"...Seite";;"basis";"richtung"
"떠오르다";"aufsteigen";;"basis";"richtung"
"맞은편";"gegenüber";;"basis";"richtung"
"들여가다";"hineingehen";;"basis";"bewegung";"richtung"
"곁에";"an der Seite / neben";;"basis";"richtung"
"등장하다";"auftauchen";;"basis";"richtung"
"결국";"das Ende / am Ende";"Letztendlich / schliesslich";"basis";"richtung"
"건너가다";"überqueren";;"basis";"bewegung";"richtung";"verkehr"
"틀다";"drehen";"Auch “aufdrehen” z.b. bei Wasser oder Gas.";"basis";"bewegung";"richtung"
"알아보다";"untersuchen / erkunden";;"basis";"richtung"
"돌아오다";"zurückkommen";;"basis";"richtung"
"...(으)ㄴ 데";"...<Ort / Punkt>";"z.B.
만은데 어디 예요?";"basis";"grammatik";"richtung"
"...로 해서";"...via";;"basis";"grammatik";"richtung"
"돌다";"sich drehen";;"basis";"richtung"
"바로";"direkt";;"basis";"richtung"
"건너편";"gegenüber";;"basis";"richtung"
"곳";"der Ort";;"basis";"richtung"
"멀다";"weit (weg) sein";;"basis";"richtung"
"가깝다";"nah sein";;"basis";"richtung"
"안에";"innen";;"basis";"richtung"
"뒤에";"hinter";;"basis";"richtung"
"위에";"auf / über";;"basis";"richtung"
"가운데";"die Mitte";;"basis";"richtung"
"앞에";"vor";;"basis";"richtung"
"밖에";"draussen";;"basis";"richtung"
"오른쪽";"rechts";;"basis";"richtung"
"왼쪽";"links";;"basis";"richtung"
"옆에";"neben";;"basis";"richtung"
"아래";"unter";;"basis";"richtung"
"직진";"gerade";;"basis";"richtung"
"저기";"dort";;"basis";"richtung"
"여기";"hier";;"basis";"richtung"
