"모범";"das Modell / Beispiel";;"abstrakt";"basis";"schule"
"졸업";"der Abschluss";;"basis";"schule"
"교환학생";"die Austauschschüler:in";;"basis";"schule"
"선후배";"Schüler aus verschiedenen Jahrgängen";;"basis";"schule";"sozial"
"예정";"der Ablaufplan / Stundenplan";;"basis";"schule"
"훌륭하다";"ausgezeichnet sein";;"basis";"schule"
"괴롭히다";"ärgern / quälen";;"basis";"schule"
"합격하다";"(Test) bestehen";"시험 합격하다 = Test bestehen";"basis";"schule"
"예문";"das Beispiel";;"basis";"schule"
"대학원";"die Universität";;"basis";"schule"
"유치원";"der Kindergarten";;"basis";"schule"
"전공하다";"Diplom / Master machen";;"basis";"schule"
"졸업하다";"den Abschluss machen";;"basis";"schule"
"이해하다";"verstehen";;"basis";"schule"
"기억하다";"sich erinnern";;"basis";"schule"
"잊어버리다";"vergessen";;"basis";"schule"
"완성하다";"vervollständigen";;"abstrakt";"basis";"schule"
"반";"die Gruppe / Klasse";;"basis";"schule";"sozial"
"모르다";"nicht wissen";;"basis";"schule"
"휴식";"die Pause";;"basis";"schule"
"숙제";"die Hausaufgabe";;"basis";"schule"
"알다";"wissen";;"basis";"schule"
"시험";"der Test";"시험 합격하다 = Test bestehen";"basis";"schule"
"수업";"der Unterricht";;"basis";"schule"
"열심히";"fleissig";;"basis";"schule"
"가르치다";"unterrichten";;"basis";"schule"
"쓰다";"schreiben";;"basis";"schule"
"공부하다";"studieren / lernen";;"basis";"schule"
"도서관";"die Bibliothek";;"basis";"schule"
"학생";"die SchülerIn";;"basis";"schule"
"교실";"das Klassenzimmer";;"basis";"schule"
"연필";"der Stift";;"basis";"schule"
"학교";"die Schule";;"basis";"schule"
"연습하다";"üben";;"basis";"schule"
"책";"das Buch";;"basis";"schule"
