"이름";"der Name";;"basis";"sozial"
"구제";"die Hilfe";;"basis";"gesellschaft";"sozial"
"축하하다";"gratulieren";;"basis";"sozial"
"다들";"alle Leute";;"basis";"sozial"
"인간";"der Mensch";;"basis";"sozial"
"사과";"die Entschuldigung";;"basis";"sozial"
"남";"der / die Andere";;"basis";"sozial"
"존중";"der Respekt";;"basis";"sozial"
"초면";"die erste Begegnung";;"basis";"sozial"
"놀리다";"spielen lassen / ärgern";;"basis";"kausativ";"sozial"
"존경";"der Respekt";;"basis";"sozial"
"관계";"die Verbindung / Beziehungen";;"basis";"politk";"sozial"
"찾아가다";"(jmd.) besuchen gehen";;"basis";"sozial"
"성실하다";"zuverlässig sein";;"basis";"sozial"
"후회하다";"bereuen";;"basis";"sozial"
"부탁";"der Gefallen";;"basis";"sozial"
"노인";"die ältere Person";;"basis";"sozial"
"비밀로하다";"geheim halten";;"basis";"sozial"
"약속을 안 지키다";"ein Versprechen nicht einhalten";;"basis";"sozial"
"참가하다";"(aktiv) teilnehmen";;"basis";"sozial";"sport"
"성인";"der Erwachsene";;"basis";"sozial"
"어른";"die Erwachsene";;"basis";"sozial"
"인사하다";"begrüssen";;"basis";"sozial"
"생기다";"aussehen";;"basis";"sozial"
"안다";"umarmen";"Passiv: 안기다";"basis";"sozial"
"떠들다";"lärm machen";;"basis";"sozial"
"선물";"das Geschenk";;"basis";"sozial"
"남자";"der Mann";;"basis";"sozial"
"여자";"die Frau";;"basis";"sozial"
"사람";"die Person";"honorativ: 분";"basis";"sozial"
