"물고기";"der Fisch";"Lebende Fische. Fischfleisch = 생선";"basis";"tier"
"벌레";"das Insekt";;"basis";"tier"
"뱀";"die Schlange";;"basis";"tier"
"곰";"der Bär";;"basis";"tier"
"늑대";"der Wolf";;"basis";"tier"
"개구리";"der Frosch";;"basis";"tier"
"소";"die Kuh";;"basis";"tier"
"호랑이";"der Tiger";;"basis";"tier"
"양";"das Schaf";;"basis";"tier"
"돼지";"das Schwein";;"basis";"tier"
"오리";"die Ente";;"basis";"tier"
"새";"der Vogel";;"basis";"tier"
"쥐";"die Maus";;"basis";"tier"
"토끼";"der Hase";;"basis";"tier"
"사자";"der Löwe";;"basis";"tier"
"고양이";"die Katze";;"basis";"tier"
