"설렁하다";"kalt sein (Wetter)";;"basis";"wetter"
"서늘하다";"angenehm kühl sein";;"basis";"wetter"
"습기";"die Feuchtigkeit";;"basis";"wetter"
"바람이 불다";"Wind wehen";;"basis";"wetter"
"어둡다";"dunkel sein (Licht)";;"basis";"wetter"
"해";"die Sonne";;"basis";"wetter"
"시원하다";"erfrischend / kühl sein";;"basis";"wetter"
"따뜻하다";"warm sein";;"basis";"wetter"
"바람";"der Wind";;"basis";"wetter"
"비";"der Regen";;"basis";"wetter"
"계절";"die Jahreszeit";;"basis";"wetter"
"흐리다";"bewölkt sein";;"basis";"wetter"
"하늘";"der Himmel";;"basis";"wetter"
"맑다";"sonnig sein";;"basis";"wetter"
"눈";"der Schnee";;"basis";"wetter"
"날씨";"das Wetter";;"basis";"wetter"
"춥다";"kalt sein (Wetter)";;"basis";"wetter"
"덥다";"heiss sein (Wetter)";;"basis";"wetter"
