"천만";"10 Millionen";"Im Übertragenen Sinn auch ewig oder unendlich
z.B. 천만다행이";"basis";"zahlen"
"...회";"... mal";"z.B. 3회 = 3 mal";"basis";"zahlen"
"번호";"die Zahl / Nummer";"Auch Telefonnummer";"basis";"zahlen"
"조 （兆）";"eine Billion";;"basis";"zahlen"
"수";"die Anzahl";;"basis";"zahlen"
"대충";"ungefähr / grob";;"basis";"zahlen"
"꼽다";"zählen";;"basis";"zahlen"
"공";"null";;"basis";"zahlen"
"몇 번";"ein paar mal";;"basis";"zahlen"
"...번";"...mal";;"basis";"zahlen"
"가나다순";"alphabetische Sortierung";;"basis";"zahlen"
"먼저";"zuerst";;"adverb";"basis";"zahlen"
"여러";"mehrere";;"adverb";"basis";"zahlen"
"억 （億）";"hundert Millionen";;"basis";"zahlen"
"십 （十）";"zehn";;"basis";"zahlen"
"구 （九）";"neun";;"basis";"zahlen"
"팔 （八）";"acht";;"basis";"zahlen"
"칠 （七）";"sieben";;"basis";"zahlen"
"육 （六）";"sechs";;"basis";"zahlen"
"오 （五）";"fünf";;"basis";"zahlen"
"사 （四）";"vier";;"basis";"zahlen"
"삼 （三）";"drei";;"basis";"zahlen"
"이 （二）";"zwei";;"basis";"zahlen"
"일 （一）";"eins";;"basis";"zahlen"
"모두";"alle";;"basis";"zahlen"
"만 （萬）";"zehntausend";;"basis";"zahlen"
"천 （千）";"tausend";;"basis";"zahlen"
"백 （百）";"hundert";;"basis";"zahlen"
"아흔";"neunzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"여든";"achtzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"일흔";"siebzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"예순";"sechzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"쉰";"fünfzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"마흔";"vierzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"서른";"dreissig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"스물";"zwanzig";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"열";"zehn";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"아홉";"neun";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"여덟";"acht";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"일곱";"sieben";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"여섯";"sechs";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"다섯";"fünf";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"넷";"vier";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"셋";"drei";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"둘";"zwei";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
"하나";"eins";"Koreanische Zahl für Alter, Stunde, kleine Mengen";"basis";"zahlen"
